ངན་སོང་སྤོང|Abandoner of Unfavorable Rebirths
རང་རྒྱལ་གྱི་ཐེག་པ|Vehicle of the pratyekabuddhas
བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ|Vehicle of the bodhisattvas
རང་རྒྱལ་གྱི་ཐེག་པ|Vehicle of the pratyekabuddhas
ཉན་ཐོས་ཀྱི་ཐེག་པ|Vehicle of the śrāvakas
བཟང་རིས|Vemacitra
བཟང་རིས|Vemacitra
ཐགས་བཟངས|Vemacitri
ཐགས་བཟངས|Vemacitri
ཐགས་བཟངས་རིས|Vemacitrin
ཐགས་བཟངས་རིས|Vemacitrin
ཐགས་བཟངས་རིས|Vemacitrin
ཐགས་བཟངས་རིས|Vemacitrin
ཚེ་དང་ལྡན་པ|Venerable
བཙུན་པ|Venerable
བཙུན་པ་བཅོམ་ལྡན་འདས|Venerable Lord
ཚེ་དང་ལྡན་པ|Venerable
བཙུན་པ|Venerable
བཙུན་པ་བཅོམ་ལྡན་འདས|Venerable Lord
བཙུན་པ་བཅོམ་ལྡན་འདས|Venerable Lord
བླ་མར་བྱེད་པ|Venerate
འོད་མ|Veṇu
འོད་མ|Veṇu
གླིང་བུ|Reed pipes
གླིང་བུ|Flute
འོད་མའི་ཚལ|Veṇuvana grove
བསིལ་ཁང|Veranda
སྒོ་ཁང་གི་སྟེང་གི་བསིལ་ཁང|Veranda above a vestibule
སྒོ་ཁང་གི་སྟེང་གི་བསིལ་ཁང|Veranda above a vestibule
ཚིག་རྩུབ་པོ|Verbal abuse
ངག་ཡོངས་སུ་དག་པ|Verbal purity
ཚིག་གིས་བསྟན་པ|Verbally constructed
ཟངས་གཡའ|Verdigris
མཚལ|Vermilion
དཎྜ་ཨུཏྤལ|Vernonia
ནཱ་ག་པི་ལ|Veronicalolia
ཚིགས་སུ་བཅད་པ|Verse
ཚིགས་སུ་བཅད་པ|Verse
དབྱངས་བསྙད|Prose put into verse
དབྱངས་བསྙད་ཀྱི་སྡེ|Sayings in prose and verse
ཚིགས་སུ་བཅད་པའི་སྡེ|Verses
དབྱངས་ཀྱིས་བསྙད་པའི་སྡེ|Melodic verses
ཚིགས་སུ་བཅད་པའི་སྡེ|Metered verses
རོ་ལངས|Vetāḍa
རོ་ལངས|Vetāḍa
རོ་ལངས|Vetāla
རོ་ལངས|Vetāla
རོ་ལངས|Vetāla
རོ་ལངས|Vetāla
རོ་ལངས|Vetāla
རོ་ལངས|Vetāla
རོ་ལངས|Vetāla
རོ་ལངས|Vetāla
རོ་ལངས|Vetāla
རོ་ལངས|Vetāla
མཪ་ན་ལ|Vetiver
སྐྲག་བྱེད་པ|Vibhīṣaṇa
སྐྲག་བྱེད་པ|Vibhīṣaṇa
ཕུན་སུམ་ཚོགས་མ|Vibhūtī
ཕུན་སུམ་ཚོགས་མ|Vibhūtī
རྣམ་པར་སྦྱོང་བ|Vicaraṇa
རྣམ་པར་སྦྱོང་བ|Vicaraṇa
རྒྱལ་བ|Victorious One
རྐྱེན་གྱི་རྒྱལ་བ|Circumstantial victorious one
རྒོལ་བའི་ལོངས་སྤྱོད|Victor’s prize
རྒྱལ་མཚན|Victory banner
རྒྱལ་མཚན|Victory banner
ངེས་པའི་རྒྱལ་མཚན་ཏོག|Crest of the Victory Banner of Certainty
ཟླ་བའི་རྒྱལ་མཚན་ཏོག|Crest of the Victory Banner of the Moon
རྒྱལ་མཚན་གྱི་རྩེ་མོའི་ཏོག|Victory Banner’s Crest
ལུས་འཕགས|Videha
ལུས་འཕགས|Videha
འཇོམས་མ|Vidhvaṃsaṇī
འཇོམས་མ|Vidhvaṃsaṇī
མཁས་མ|Vidu
མཁས་མ|Vidu
རིག་པ|Incantation
རིག་མ|Vidyā
རིག་མ|Vidyā
རིག་མ|Knowledge
རིག་པ|Knowledge
རིག་པ|Spell
རིག་པ|Awareness
རིག་པ་འཛིན་པ|Knowledge-holder
རིག་འཛིན|Vidyādhara
རིག་འཛིན|Vidyādhara
རིག་སྔགས་འཆང|Vidyādhara
རིག་འཛིན|Vidyādhara
རིག་སྔགས་འཆང|Vidyādhara
རིག་འཛིན|Vidyādhara
རིག་པ་འཛིན་པ|Vidyādhara
རིག་པ་འཛིན་པ|Vidyādhara
རིག་པའཛིན་པ|Vidyādhara
རིག་འཛིན|Vidyādhara
རིག་པའཛིན་པ|Vidyādhara
རིག་འཛིན|Vidyādhara
རིག་འཛིན|Vidyādhara
རིག་འཛིན|Vidyādhara
བི་དྱཱ་ཀ་ར་པྲ་བྷ|Vidyākaraprabha
བི་དྱཱ་ཀ་ར་པྲ་བྷ|Vidyākaraprabha
གློག་གི་ལྷ|Vidyuddeva
གློག་གི་ལྷ|Vidyuddeva
གློག་ལྷ|Vidyutdeva
གློག་ལྷ|Vidyutdeva
ནོར་བུ་རིན་པོ་ཆེ་གློག་གི་སྒྲོན་མ|Vidyutpradīpa gem
ལྟ་བ|View
ལྟ་བ|View
ལྟ་བ|Wrong view
ལྟ་བ་ཕྱིན་ཅི་ལོག་པ|Mistaken view
ལྟ་བར་གྱུར་པ|False view
ཡང་དག་པའི་ལྟ་བ|Correct view
ལྟ་བར་འགྱུར|Have a view
འཇིག་ཚོགས་ལ་ལྟ་བ|View of the transitory collection
འཇིག་ཚོགས་ལ་ལྟ་བ|False views about perishable composites
ལྟ་བའི་རྣམ་པ་དྲུག་ཅུ་རྩ་གཉིས|Sixty-two false views
འཇིག་ཚོགས་ལ་ལྟ་བ|View of the transitory collection
མཐོང་བ་པོ|Viewer
མྱ་ངན་བྲལ་བ|Vigataśoka
མྱ་ངན་བྲལ་བ|Vigataśoka
བགེགས|Obstructing forces
བགེགས|Obstructing forces
བགེགས|Obstructors
བགེགས|Vighna
བགེགས|Vighna
བགེགས་མེད་པའི་བདག་པོ|Vighnapati
བགེགས་མེད་པའི་བདག་པོ|Vighnapati
རྣམ་པར་གྲགས་པའི་དབྱངས|Vighuṣṭaghoṣa
རྣམ་པར་གྲགས་པའི་དབྱངས|Vighuṣṭaghoṣa
ཡེ་ཤེས་རྣམ་གྲགས|Vighuṣṭajñāna
ཡེ་ཤེས་རྣམ་གྲགས|Vighuṣṭajñāna
རྣམ་པར་གྲགས་པའི་སྤྱན|Vighuṣṭanetra
རྣམ་པར་གྲགས་པའི་སྤྱན|Vighuṣṭanetra
རྣམ་གྲགས་སྒྲ|Vighuṣṭaśabda
རྣམ་གྲགས་སྒྲ|Vighuṣṭaśabda
རྣམ་པར་གྲགས་པའི་གཟི་བརྗིད|Vighuṣṭatejas
རྣམ་པར་གྲགས་པའི་གཟི་བརྗིད|Vighuṣṭatejas
རྩོད་པ་བཟློག་པ|Vigraha­vyāvartanī
རྩོད་པ་བཟློག་པ|Vigraha­vyāvartanī
རྣམ་རྒྱལ་མ|Vijayā
རྣམ་རྒྱལ་མ|Vijayā
རྣམ་པར་རྒྱལ་བ|Vijaya
རྣམ་པར་རྒྱལ་བ|Vijaya
སྡེ་ལས་རྣམ་པར་རྒྱལ|Vijayasenā
སྡེ་ལས་རྣམ་པར་རྒྱལ|Vijayasenā
རྣམ་པར་རྒྱལ་བས་རྣམ་པར་གནོན་པ|Vijaya­vikrāmin
རྣམ་པར་རྒྱལ་བས་རྣམ་པར་གནོན་པ|Vijaya­vikrāmin
རྣམ་པར་ཤེས་པ་སྨྲ་བ|Vijñānavāda
རྣམ་པར་ཤེས་པ་སྨྲ་བ|Vijñānavāda
མི་ལྡན་པ|Vikala
མི་ལྡན་པ|Vikala
རད་རོད་ཅན|Vikaṭa
རད་རོད་ཅན|Vikaṭa
རྣམ་པར་འཕྲུལ་པའི་རྒྱལ་པོ|Vikurvaṇarāja
རྣམ་པར་འཕྲུལ་པའི་རྒྱལ་པོ|Vikurvaṇarāja
རྣམ་པར་འཕྱང་མ|Vilambā
རྣམ་པར་འཕྱང་མ|Vilambā
གྲོང་པའི་ཆོས|Villagers’ dharma
དྲི་མ་མེད་པ|Vimala
དྲི་མ་མེད་པ|Vimala
དྲི་མེད|Vimala
དྲི་མེད|Vimala
དྲི་མ་མེད|Vimala
དྲི་མ་མེད|Vimala
དྲི་མེད|Stainless
དྲི་མེད་པ|Vimalā
དྲི་མེད་པ|Vimalā
དྲི་མ་མེད་པ|Pure
དྲི་མ་མེད|Vimalā
དྲི་མ་མེད|Vimalā
དྲི་མ་མེད་པའི་ཟླ་བ|Vimalacandra
དྲི་མ་མེད་པའི་ཟླ་བ|Vimalacandra
དྲི་མ་མེད་པས་བྱིན་པ|Vimaladatta
དྲི་མ་མེད་པས་བྱིན་པ|Vimaladatta
དྲི་མ་མེད་པས་བྱིན་པ|Vimaladattā
དྲི་མ་མེད་པས་བྱིན་པ|Vimaladattā
དྲི་མ་མེད་པའི་སྙིང་པོ|Vimalagarbha
དྲི་མ་མེད་པའི་སྙིང་པོ|Vimalagarbha
དྲི་མ་མེད་པ|Vimalakīrti
དྲི་མ་མེད་པ|Vimalakīrti
དྲི་མ་མེད་པའི་མིག|Vimalanetra
དྲི་མ་མེད་པའི་མིག|Vimalanetra
དྲི་མ་མེད་པའི་སྤྱན|Vimalanetra
དྲི་མ་མེད་པའི་སྤྱན|Vimalanetra
སྤྱན་དང་ཡན་ལག་དྲི་མེད|Vimalāṅganetra
སྤྱན་དང་ཡན་ལག་དྲི་མེད|Vimalāṅganetra
འོད་དྲི་མ་མེད་པ|Vimalaprabha
འོད་དྲི་མ་མེད་པ|Vimalaprabha
དྲི་མེད་འོད|Vimalaprabha
དྲི་མེད་འོད|Vimalaprabha
དྲི་མ་མེད་པའི་གཟི་བརྗིད|Vimalatejā
དྲི་མ་མེད་པའི་གཟི་བརྗིད|Vimalatejā
དྲི་མ་མེད་པ|Vimala­nirmala­kara­śrī
དྲི་མ་མེད་པར་བྱེད་པའི་དཔལ|Vimala­nirmala­kara­śrī
དྲི་མ་མེད་པ|Vimala­nirmala­kara­śrī
དྲི་མ་མེད་པར་བྱེད་པའི་དཔལ|Vimala­nirmala­kara­śrī
དྲི་མ་མེད་པའི་འོད|Vimala­prabhāsa
དྲི་མ་མེད་པའི་འོད|Vimala­prabhāsa
པི་ཝང|Vīṇa
པི་ཝང|Vīṇa
འདུལ་བ|Vinaya
འདུལ་བ|Vinaya
འདུལ་བ|Vinaya
འདུལ་བ|Vinaya
འདུལ་བ|Vinaya
འདུལ་བ|Vinaya
འདུལ་བ|Vinaya
འདུལ་བ|Vinaya
ཆོས་འདུལ་བ|Teachings of the vinaya
འདུལ་བ་འདི་ལ་མི་སྐྱེ་བའི་ཆོས་ཅན|One who will not flourish in the Dharma and the Vinaya
འདུལ་བ་འདི་ལ་མི་སྐྱེ་བའི་ཆོས་ཅན|One who will not flourish in the Dharma and the Vinaya
བར་ཆད་བྱེད་པ|Vināyaka
བར་ཆད་བྱེད་པ|Vināyaka
འབིགས་བྱེད|Vindhya
འབིགས་བྱེད|Vindhya
རི་འབིགས་བྱེད|Vindhya Mountains
རི་འབིགས་བྱེད|Vindhya Mountains
ཐ་དད་དུ་གནས་པ|Vinirbhoga
ཐ་དད་དུ་གནས་པ|Vinirbhoga
དུལ་བའི་དབང་ཕྱུག|Vinīteśvara
དུལ་བའི་དབང་ཕྱུག|Vinīteśvara
རྣམ་པར་འཚེ་བ|Violence
ལྷག་མཐོང|Vipaśyanā
ལྷག་མཐོང|Vipaśyanā
ལྷག་མཐོང|Special insight
ལྷག་མཐོང|Insight
རྣམ་པར་གཟིགས|Vipaśyin
རྣམ་པར་གཟིགས|Vipaśyin
རྣམ་པར་གཟིགས་པ|Vipaśyin
རྣམ་པར་གཟིགས་པ|Vipaśyin
རྣམ་པར་གཟིགས|Vipaśyin
རྣམ་པར་གཟིགས|Vipaśyin
རྣམ་པར་གཟིགས|Vipaśyin
རྣམ་པར་གཟིགས|Vipaśyin
རྣམ་པར་གཟིགས|Vipaśyin
རྣམ་པར་གཟིགས|Vipaśyin
ལྷག་མཐོང|Vipaśyin
ལྷག་མཐོང|Vipaśyin
སངས་རྒྱས་རྣམ་གཟིགས|Vipaśyin
རྣམ་པར་གཟིགས|Vipaśyin
རྣམ་པར་གཟིགས|Vipaśyin
རྣམ་པར་གཟིགས|Vipaśyin
རྣམ་པར་གཟིགས|Vipāśyin
རྣམ་པར་གཟིགས|Vipāśyin
བི་ར|Vīrā
བི་ར|Vīrā
དཔས་བྱིན|Vīradatta
དཔས་བྱིན|Vīradatta
རྡུལ་དང་བྲལ་བ|Viraja
རྡུལ་དང་བྲལ་བ|Viraja
རྡུལ་མེད་པ|Virajā
རྡུལ་མེད་པ|Virajā
དཔའ་བརྟན་པའི་སྡེ་དགའ་བའི་རྒྱལ་པོ|Vīrasena
དཔའ་བརྟན་པའི་སྡེ་དགའ་བའི་རྒྱལ་པོ|Vīrasena
དཔའ་བོའི་སྡེ|Vīrasena
དཔའ་བོའི་སྡེ|Vīrasena
དཔའ་བོ|Virile One
དགེ་སྦྱོང|Virtuous ascetic
དགེ་བའི་ཆོས|Virtuous attributes
སྡིག་པ་མི་དགེ་བའི་ཆོས|Negative and non-virtuous attributes
སྐྱེ་བུ་དམ་པ|Virtuous One
དགེ་བའི་ཆོས|Virtuous phenomena
མི་དགེ་བའི་ཆོས|Non-virtuous phenomena
དགེ་བའི་བཤེས་གཉེན|Virtuous spiritual friend
འཕགས་སྐྱེས་པོ|Virūḍhaka
འཕགས་སྐྱེས་པོ|Virūḍhaka
འཕགས་སྐྱེས་པོ|Virūḍhaka
འཕགས་སྐྱེས་པོ|Virūḍhaka
འཕགས་སྐྱེས་པོ|Virūḍhaka
འཕགས་སྐྱེས་པོ|Virūḍhaka
འཕགས་སྐྱེས་པོ|Virūḍhaka
འཕགས་སྐྱེས་པོ|Virūḍhaka
འཕགས་སྐྱེས་པོ|Virūḍhaka
འཕགས་སྐྱེས་པོ|Virūḍhaka
འཕགས་སྐྱེས་པོ|Virūḍhaka
འཕགས་སྐྱེས་པོ|Virūḍhaka
མིག་མི་བཟང|Virūpākṣa
མིག་མི་བཟང|Virūpākṣa
མིག་མི་བཟང|Virūpākṣa
མིག་མི་བཟང|Virūpākṣa
མིག་མི་བཟང|Virūpākṣa
མིག་མི་བཟང|Virūpākṣa
མིག་མི་བཟང|Virūpākṣa
མིག་མི་བཟང|Virūpākṣa
མིག་མི་བཟང|Virūpākṣa
མིག་མི་བཟང|Virupākṣa
མིག་མི་བཟང|Virupākṣa
ཞལ་ཟླ་བ་ཉ་བ་ལྟ་བུ|Visage that resembles the full moon
སྐར་མ་ས་ག|Viśākhā
སྐར་མ་ས་ག|Viśākhā
ས་ག|Viśālā
ས་ག|Viśālā
བློ་གྲོས་ཡངས་པ|Viśālamati
བློ་གྲོས་ཡངས་པ|Viśālamati
ཁྱད་པར་འགྲོ|Viśeṣagāmin
ཁྱད་པར་འགྲོ|Viśeṣagāmin
ཁྱད་པར་བློ་གྲོས|Viśeṣamati
ཁྱད་པར་བློ་གྲོས|Viśeṣamati
ཁྱད་པར་བློ་གྲོས|Viśeṣamati
ཁྱད་པར་བློ་གྲོས|Viśeṣamati
དགེ་སློང་གློ་བུར་དུ་འོངས་པ|Visiting monks
ཀུན་གྱི་བཤེས་གཉེན|Viśmāmitra
ཀུན་གྱི་བཤེས་གཉེན|Viśmāmitra
ཁྱབ་འཇུག|Viṣṇu
ཁྱབ་འཇུག|Viṣṇu
ཁྱབ་འཇུག|Viṣṇu
ཁྱབ་འཇུག|Viṣṇu
ཁྱབ་འཇུག|Viṣṇu
ཁྱབ་འཇུག|Viṣṇu
ཁྱབ་འཇུག|Viṣṇu
ཁྱབ་འཇུག|Viṣṇu
ཁྱབ་འཇུག|Viṣṇu
ཁྱབ་འཇུག|Viṣṇu
ཁྱབ་འཇུག་ལེན|Viṣṇula
ཁྱབ་འཇུག་ལེན|Viṣṇula
འོད་རྒྱ་ཆེན|Vistīrṇabheda
འོད་རྒྱ་ཆེན|Vistīrṇabheda
ཡངས་ལྡན|Vistīrṇavatī
ཡངས་ལྡན|Vistīrṇavatī
རྣམ་པར་དག་པའི་སྤྱན|Viśuddhanetra
རྣམ་པར་དག་པའི་སྤྱན|Viśuddhanetra
རྣམ་དག་སྒྲ་ཡི་དབང་ཕྱུག|Viśuddha­ghoṣeśvara
རྣམ་དག་སྒྲ་ཡི་དབང་ཕྱུག|Viśuddha­ghoṣeśvara
ཐམས་ཅད་སྐྱོབ|Viśvabhū
ཐམས་ཅད་སྐྱོབ|Viśvabhū
ཐམས་ཅད་སྐྱོབ|Viśvabhū
ཐམས་ཅད་སྐྱོབ|Viśvabhū
ཐམས་ཅད་སྐྱོབ|Viśvabhū
ཐམས་ཅད་སྐྱོབ|Viśvabhū
ཐམས་ཅད་སྐྱོབ་པ|Viśvabhū
ཐམས་ཅད་སྐྱོབ་པ|Viśvabhū
ཐམས་ཅད་སྐྱོབ|Viśvabhū
ཀུན་སྐྱོབ|Viśvabhū
ཐམས་ཅད་སྐྱོབ|Viśvabhū
ཀུན་སྐྱོབ|Viśvabhū
ཀུན་གྱིས་བཤེས་གཉེན|Viśvāmitra
ཀུན་གྱིས་བཤེས་གཉེན|Viśvāmitra
ཐམས་ཅད་བཤེས|Viśvāmitra
ཐམས་ཅད་བཤེས|Viśvāmitra
ཀུན་བཤེས|Friend to All
ཀུན་གྱི་བཤེས|Viśvāmitra
ཀུན་གྱི་བཤེས|Viśvāmitra
གཟུགས་སྣ་ཚོགས་ཅན|Viśvarūpā
གཟུགས་སྣ་ཚོགས་ཅན|Viśvarūpā
རྣ་ཚོགས་རྡོ་རྗེ་མ|Viśvavajrī
རྣ་ཚོགས་རྡོ་རྗེ་མ|Viśvavajrī
བཱི་ཏ་རཱ་ག|Vītarāga
བཱི་ཏ་རཱ་ག|Vītarāga
རྣམ་པའི་མཆུ་ཅན|Vituṇḍaka
རྣམ་པའི་མཆུ་ཅན|Vituṇḍaka
ཁྱད་པར་སེམས|Viveśacintin
ཁྱད་པར་སེམས|Viveśacintin
ནོར་བུ་རྣམ་པ་སྣ་ཚོགས་ཀྱིས་མཛེས་པར་བྱས་པའི་ཅོད་པན་ཐོགས་པ|Vividha­vicitra­maṇi­mauli­dharā
ནོར་བུ་རྣམ་པ་སྣ་ཚོགས་ཀྱིས་མཛེས་པར་བྱས་པའི་ཅོད་པན་ཐོགས་པ|Vividha­vicitra­maṇi­mauli­dharā
མངལ་སྐྱེས|Viviparous birth
རྣམ་པར་སྐྱེ་བ་མ|Vivṛddhi
རྣམ་པར་སྐྱེ་བ་མ|Vivṛddhi
ཕྱེ་བ|Vivṛta
ཕྱེ་བ|Vivṛta
ཐེ་ཚོམ་ཀུན་བཅོམ|Vi­mati­samuddhāṭin
ཐེ་ཚོམ་ཀུན་བཅོམ|Vi­mati­samuddhāṭin
རྣམ་གྲོལ་སྡེ|Vi­mukti­sena
རྣམ་གྲོལ་སྡེ|Vi­mukti­sena
བློ་གྲོས་ཁྱད་པར་ཅན|Vi­śeṣa­mati
བློ་གྲོས་ཁྱད་པར་ཅན|Vi­śeṣa­mati
སྤྱོད་པ་ཁྱད་པར་ཅན|Vi­śiṣṭa­cāritra
སྤྱོད་པ་ཁྱད་པར་ཅན|Vi­śiṣṭa­cāritra
སྤྱོད་པ་རྣམ་པར་དག|Vi­śuddha­cāritra
སྤྱོད་པ་རྣམ་པར་དག|Vi­śuddha­cāritra
དབྱངས་ཟབ་པ|Voice is deep [like the trumpet of an elephant or the rolling of thunder]
འཛམ་བུའི་མགྲིན|Voice of Jambū
གསུང་དབྱངས་རྣམ་པ་དྲུག་བཅུ|Voice of the tathāgatas endowed with sixty aspects
དབེན་པ|Void
གསོག|Void
དབེན་པ|Void
མི་དབེན་པ|Not void
ཤིན་ཏུ་དབེན་པ|Absolutely void
བཀུས་ཏེ་བོར|Voided urine
སྟོང་པ་ཉིད|Voidness
དབེན་པ|Voidness
གསོག|Voidness
སྟོང་པ་ཉིད་ཀྱི་སྟོང་པ་ཉིད|Voidness of voidness
སྟོང་པ་ཉིད་ཀྱི་སྟོང་པ་ཉིད|Voidness of voidness
མོས་པ|Volition
སེམས་པ|Volition
གསུད་པ|Vomiting and diarrhea
བརྟུལ་ཞུགས|Vow
དགེ་བསྙེན་མ|Female lay vow holder
དགེ་བསྙེན|Male lay vow holder
མ་ནིང་ཕྲག་དོག་ཅན|Voyeur
འཕེལ་མོ|Vṛddhi
འཕེལ་མོ|Vṛddhi
སྤོང་བྱེད|Vṛji
སྤོང་བྱེད|Vṛji
བྲི་ཛི་ན|Vṛji
བྲི་ཛི་ན|Vṛji
རྒོད་ཀྱི་ཕུང་པོ|Vulture Peak
བྱ་རྒོད་ཕུང་པོའི་རི|Vulture Peak
རྒོད་ཀྱི་ཕུང་པོ|Vulture Peak
བྱ་རྒོད་ཀྱི་ཕུང་པོའི་རི|Vulture Peak
བྱ་རྒོད་ཕུང་པོ|Vulture Peak Mountain
བྱ་རྒོད་ཕུང་པོའི་རི|Vulture Peak Mountain
བྱ་རྒོད་ཕུང་པོའི་རི|Vulture Peak Mountain
བྱ་རྒོད་ཕུང་པོའི་རི|Vulture Peak Mountain
བྱ་རྒོད་ཕུང་པོའི་རི|Vulture Peak Mountain
བྱ་རྒོད་ཕུང་པོའི་རི|Vulture Peak Mountain
བྱ་རྒོད་ཕུང་པོ|Vulture Peak Mountain
བྱ་རྒོད་ཕུང་པོའི་རི|Vulture Peak Mountain
བྱ་རྒོད་ཕུང་པོའི་རི|Vulture Peak Mountain
བྱ་རྒོད་ཕུང་པོའི་རི|Vulture Peak Mountain
བྱ་རྒོད་ཕུང་པོའི་རི|Vulture Peak Mountain
བྱ་རྒོད་ཕུང་པོའི་རི|Vulture Peak Mountain
བྱ་རྒོད་ཕུང་པོ|Vulture Peak Mountain
སྦྲུལ་མ་རུངས་པ|Vyāḍa
སྦྲུལ་མ་རུངས་པ|Vyāḍa
ནད|Vyādhi
ནད|Vyādhi
ལུང་བསྟན་པ|Vyākaraṇa
ལུང་བསྟན་པ|Vyākaraṇa
ཁྱབ་བྱེད|Vyāna
ཁྱབ་བྱེད|Vyāna
རྒྱས་པ|Vyāsa
རྒྱས་པ|Vyāsa
བཀོད་པའི་བློ་གྲོས|Vyūhamati
བཀོད་པའི་བློ་གྲོས|Vyūhamati
བཀོད་པའི་རྒྱལ་པོ|Vyūharāja
བཀོད་པའི་རྒྱལ་པོ|Vyūharāja
བཀོད་པའི་རྒྱལ་པོ|Vyūharāja
བཀོད་པའི་རྒྱལ་པོ|Vyūharāja
བཀོད་པའི་རྒྱལ་པོ|Vyūharāja
བཀོད་པའི་རྒྱལ་པོ|Vyūharāja
རས་ཡུག་ཆེན|Waist cloth
ཀུན་ཏུ་རྒྱུ|Wanderer
དགེ་སློང་འགྲོ་བར་ཆས་པ|Wanderer monks
དགེ་སློང་འགྲོ་བར་ཆས་པ|Wanderer monks
ཀུན་ཏུ་རྒྱུ|Wandering mendicant
ཀུན་ཏུ་རྒྱུ|Wandering mendicants
ལྷན་ཅིག་གནས་པ|Ward
དྲོད|Warmth
རྒྱལ་རིགས|Warrior class
རིལ་བ|Washing bowls
ཆུའི་ཁམས|Water element
ཟད་པར་ཆུ|Total consummation of the water element
ཀུ་མུ་ད|Water lily
དྲི་མཆོག|Water lily
ཀུ་མུ་ད|Water lily
ཡན་ལག་བརྒྱད་དང་ལྡན་པའི་ཆུ|Water possessing the eight qualities
ཀ་ལམ་བི|Water spinach
ཡན་ལག་བརྒྱད་ལྡན་གྱི་ཆུ|Water that has the eight qualities
ཆུའི་བཏག་པ|Water trial
བླག་ཤ|Wavy-leaf fig tree
སངས་རྒྱས་ཀྱི་ཚུལ|Way of the buddhas
སྟོབས་ཆུང་བར་བགྱིད|Weaken
ལོངས་སྤྱོད|Wealth
རིན་ཆེན་མཆོག|Perfect Wealth
རིན་ཆེན་ཀུན་ནས་བསགས་པ|Complete Gathering of Wealth
ནོར་ཐམས་ཅད་ཕྱིན་པ|Giver of All Wealth
འབྱོར་ལྡན|Wealthy
ཤིང་སཱ་ལ་ཆེན་པོ་ལྟ་བུར་ནོར་བཟངས|Wealthy as the Great Sal Tree
ཤིང་སཱ་ལ་ཆེན་པོ་ལྟ་བུར་ནོར་བཟངས|Wealthy as the Great Sal Tree
ཟུར་ཕུ་ལྔ|Wearing Five Braids of Hair
སོ་སོར་ཀུན་དགའ་བར་བྱ|Welcome
རིན|Welcome offering
རིན|Welcome offering
འདུས་བྱས་ཀྱིས་རབ་ཏུ་ཕྱེ་བ|Well distinguished by conditioned phenomena
ཕན་པ|Well-being
འབྲེལ་བའི་སྤོབས་པ|Well-connected inspiration
རྡོ་རྗེ་སྙིང་པོས་རབ་ཏུ་འདུལ་བ|Well-tamed by the Vajra Essence
གློག་པ|Welts
གྲོ|Wheat
འཁོར་ལོ|Wheel
ཆོས་ཀྱི་འཁོར་ལོ|Dharma wheel
ཆོས་ཀྱི་འཁོར་ལོ་བསྐོར་བ|Turn the doctrinal wheel
རྣམ་པ་བཅུ་གཉིས་དང་ལྡན་པའི་ཆོས་ཀྱི་འཁོར་ལོ|Twelvefold wheel of Dharma
ཕྱིར་མི་ལྡོག་པའི་ཆོས་ཀྱི་འཁོར་ལོ|Irreversible wheel of the Dharma
ཆོས་ཀྱི་འཁོར་ལོ་བསྐོར་བ་གཉིས་པ|Second promulgation of the doctrinal wheel
མུ་ཁྱུད་ཁོར་ཡུག་དང་ལྡན་པ|Feet marked with the motif of the wheel
མུ་ཁྱུད་ཁོར་ཡུག་དང་ལྡན་པ|Feet marked with the motif of the wheel
ཕྱིར་མི་ལྡོག་པའི་འཁོར་ལོ་བསྒྲགས་པའི་འཇིག་རྟེན|World in which the Wheel of No Regress has been Proclaimed
སྡུག་པ་ཉིད་དུ་མོས་པ|When beings are inclined toward pleasant states
གཟུགས་ཅན་གཟུགས་རྣམས་ལ་ལྟ་བ|When corporeal beings observe physical forms
ནང་གཟུགས་མེད་པར་འདུ་ཤེས་པས་ཕྱི་རོལ་གྱི་གཟུགས་རྣམས་ལ་ལྟ་བ|When formless beings endowed with internal perception observe external physical forms
མི་གཡོ་བ་གཀར་པོ|White Acala
དྲི་མེད་དབྱངས་ཀྱི་དབང་ཕྱུགས་དཀར་མོ|White Amalagīśvariṇī
སྤུག|White coral
སྤུག|White coral
ཕ་ཐ་སེ|White gourd melon
ཤ་བཀྲ|White leprosy
པད་མ་དཀར་པོ|White lotus
པད་མ་དཀར་པོ|White lotus
པད་མ་དཀར་པོ|White lotus
ཤྭེ་ཏ་གྲི་དྷྲི་ཎཱི|White Vulture
བྱ་བ་མ་ཡིན་པ་སྨྲ་བ|Who propound inaction
ཡོངས་སུ་དགའ་ལྡན|Wholly Joyous Heaven
ངང་སྐྱ|Whooper swan
ཉོན་མོང་པ་ཟད་པ|Whose afflicted mental states have ended
རབ་ཏུ་གདོན་མི་ཟ་བ་པད་མོ་རྒྱས་པའི་སྐུ|Whose Body is the Blossoming Lotus of Complete Absence of Doubt
ཆོས་ཀྱི་འོད་ཟེར་རབ་ཏུ་རྒྱས་པའི་སྐུ|Whose Body is the Widely Spreading Light of the Dharma
ཟླ་བའི་ཐུགས|Whose Mind is Like the Moon
ཚེ་ཟད་པ|Whose series of lives has ended
ཅིའི་སླད་དུ|Why
སྤྱན་ཡངས་ཤིང་བའི་རྫི་མ་ལྟ་བུ|Wide eyes and bovine eyelashes
ངུར་པ|Wild geese
ཤ་ར་པུང་ག|Wild indigo
མདའ་རྒྱུས|Wild licorice
མ་ཧེ|Wild water buffalo
འབྲོག་དགོན|Wilderness
འདོད་པ|Willingness
སྡུད་པ|Win
རླུང|Wind
རླུང་གི་ཁམས|Wind element
རླུང་ལས་གྱུར་པའི་ནད|Wind disorders
རླུང་གི་དཀྱིལ་འཁོར|Cosmic wind-atmosphere
