ཀ|{stambha}
ཆོས་ཐམས་ཅད་ལ་ཐེ་ཚོམ་མེད་པའི་མཁྱེན་པ་མངའ་བ|{sarvadharmaniHsaMzayajJAna}
ཆོས་ཐམས་ཅད་ལ་ཐེ་ཚོམ་མེད་པའི་ཡེ་ཤེས་མངའ་བ|{sarvadharmaniHsaMzayajJAna}
ཆོས་ཐམས་ཅད་ལ་དབང་བྱེད་པ|{sarvadharma}
ཅསེམས་ནི་ཧོས་ཐམས་ཅད་ལ་དབང་བྱེད་པའི་ཕྱིར་རྒྱལ་པོ་དང་མཚུངས་སོ|{cittaM hi ... rAjasadRzaM sarvadharmAdhipateNa}
ཆོས་ཐམས་ཅད་ལས་འདས་པ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན|{sarvadharmAtikramaNo nAm asamAdhiH}
ཆོས་ཐམས་ཅད་ལས་ཤིན་ཏུ་འཕགས་པ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན|{sarvadharmodgato nAm asamSdhiH}
ཆོས་ཐོབ|{dharmalAbhin}
ཆོས་མཐུན་པ|{1) sadharman 2) sAdharmya}
ཆོས་མཐུན་ཅན|{sAdharmyavat}
ཆོས་མཐུན་པ་ཉིད|{sAdharmya}
ཆོས་མཐུན་པ་ཉིད་ཅན|{sAdharmyavat}
ཆོས་མཐུན་པའི་དཔེ་ལྟར་སྣང་བ|{sAdharmeNa dRTAnatAbhAsaH}
ཆོས་མཐུན་དཔེ་ལྟར་སྣང་བ|{sAdharmyadRSTAntAbhAsa}
ཆོས་མཐུན་བློ|{anudharmadhI}
ཆོས་མཐུན་མཚུངས|{sAdharmyasamA}
ཆོས་མཐོང་བ|{dRSTadharma}
ཆོས་དང་གང་ཟག་གི་ངོ་བོ་ཉིད་དུ་མངོན་པར་ཞེན་པའི་བག་ལ་ཉལ་བའི་ལྟ་བ་ལ་བརྟེན་ནས|{dharmapudgalAbhinivezAnuzayadRSTIrnizritya}
ཆོས་དང་གང་ཟག་བདག་མེད|{dharmapudgalanairAtmya}
ཆོས་དང་ཆོས་ཅན་གཏན་ལ་དབབ་པ|{dharmadharmivinizcaya}
ཆོས་དང་ཆོས་ཉིད་རྣམ་པར་འབྱེད་པ|{dharmadharmatAvibhaMga}
ཆོས་དང་ཆོས་ཉིད་རྣམ་པར་འབྱེད་པའི་འགྲེལ་པ|{dharmadharmatAvibhaMgavRtti}
ཆོས་དང་ཆོས་ཉིད་རྣམ་པར་འབྱེད་པའི་ཚིག་ལེའུར་བྱས་པ|{dharmadharmatAvibhaMgakArikA}
ཆོས་དང་ཆོས་མེད|{dharmAdharma}
ཆོས་དང་རྗེས་སུ་འཐུན་པའི་ཆོས་ལ་ཞུགས་པ|{dharmAnudharmaprati+o+nna}
ཆོས་དང་རྗེས་སུ་འཐུན་པར་སྤྱོད་པ|{anudharmapraticArin}
ཆོས་དང་མཐུན་པ|{sAdharmya}
ཆོས་དང་མཐུན་པ་ཉིད|{sAdharmya}
ཆོས་དང་མཐུན་པས|{sahadharmeNa}
ཆོས་དང་མཐུན་ཞིང|{dharmeNa}
ཆོས་དང་མཐུན་པའི་རྙེད་པས་ཆོས་ཤེས་ཤིང|{tuSTazca lAbhena saddhArmikena}
ཆོས་དང་དོན་གྱི་མཚན་མ|{dharmArthanimitta}
ཆོས་དང་དོན་རྣམ་པར་འབྱེད་པ|{dharmArthavibhaMga}
ཆོས་དང་དོན་སོ་སོ་ཡང་དག་པར་རིག་པ|{dharmArthapratisaMvid}
ཆོས་དང་ལྡན་པ|{dhArmika}
ཆོས་དང་ལྡན་པ་མ་ཡིན|{adhArmika}
ཆོས་དང་ལྡན་པར|{saha dharmeNa}
ཆོས་དང་ལྡན་ཞིང་ཆོས་ཀྱི་ཐོབ་པ|{dharmo dharmalabdhaH}
ཆོས་དང་མི་མཐུན་པ|{vaidharmya}
ཆོས་དང་མི་མཐུན་པ་ཉིད|{vaidharmya}
ཆོས་དང་མི་ལྡན|{adhArmika}
ཆོས་དང་ཚོགས་ཀྱི་མཆོག་བཅས|{sahadharmaganottama}
ཆོས་དམ་པའི་ཕྱག་རྒྱ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན|{varadharmamudrA nAma samAdhiH}
ཆོས་དོན་སྙིང་པོར་བྱེད་ཅིང|{dharmArthasAra}
ཆོས་དོན་དུ་གཉེར་བ|{1) dharmArthika 2) dharmArthikatA}
ཆོས་དོན་སྨྲ་བ|{dharmArthavAdin}
ཆོས་དྲན་པ་ཉེ་བར་བཞག་པ|{dharmasmRtyupasthAna}
ཆོས་དྲུག|{paSdharmAH}
ཆོས་དྲུག་གི་མན་ངག|{paSdharmopadeza}
ཆོས་གདགས་པ་རྣམ་པར་བཞག་པ|{dharmaprajJaptivyavasthApana}
ཆོས་གདུགས|{dharmacchatra}
ཆོས་བདག་མ་མཆོས་པ|{dharmanairAtmya}
ཆོས་བདག་མེད་པ|{dharmanairAtmya}
ཆོས་བདུད་རྩིའེ་ཁུ་བ|{dharmAmRtarasa}
ཆོས་འདུལ་བ|{dharmavinaya}
ཆོས་འདོད|{1) dharmakAma 2) dharmArthika}
ཆོས་འདོད་པ|{1) dharmakAma 2 )dharmArthika 3) dharmecchaka}
ཆོས་འདོད་པ་རྣམས་དང་བདེ་བར་ཕྲད་པ|{dharmArthikasamAgata}
ཆོས་འདོད་མིན|{na dharmakAmaH}
ཆོས་ལྡན|{1) dharma 2) dharmAtmaka 3) dhArmika}
ཆོས་ལྡན་ཆོས་ཀྱི་རྒྱལ་པོ|{dhArmiko dharmo rAjA}
ཆོས་ལྡན་རབ་འབྱོར|{dhArmikasubhUti}
ཆོས་སྡུད་པ|{dharmasaMgraha}
ཆོས་གནས་པ|{dharmasthiti}
ཆོས་གནས་པ་ཉིད|{dharmasthititA}
ཆོས་རྣམ་པ་སྣ་ཚོགས་དམིགས་པའི་མངོན་པར་རྟོགས་པ|{vividhadharmAlambakAbhisamaya}
ཆོས་རྣམ་པར་ངེས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ|{dharmavinizcaya nAma prakaraNa}
ཆོས་རྣམས|{1) dharmatA 2) sarvadharma}
ཆོས་རྣམས་ཀྱི་ངོ་བོ་ཉིད་མ་མཆིས་པ་ཉིད|{dharmANAM niHsvabhAvatA}
ཆོས་རྣམས་ཀྱི་ཆོས་ཉིད|{1) dharmadharmatA 2) dharmANAM dharmatA}
ཆོས་རྣམས་རྒྱ་མཚོ|{dharmasamudra}
ཆོས་རྣམས་མཉན་པར་བྱ་བ|{dharmazravaNa}
ཆོས་སྣ་ཚོགས་ཀྱི་ངོ་བོ་ཉིད|{nAnAdharmasvabhAva}
ཆོས་སྣང་བ|{dharmAloka}
ཆོས་སྣང་བའི་སྒོ|{dharmAlokamikha}
ཆོས་སྤོང་བ|{dharma}
དམ་པའི་ཆོས་སྤོང་བ|{saddharmapratikSepa}
ཆོས་སྤྱད་པ་བཅུ་པོ|{dazadharmacaryA}
ཆོས་སྤྱོད|{dharmacaryA}
ཆོས་སྤྱོད་བཅུ|{dazadharmacaryAH}
ཆོས་སྤྱོད་མདོར་བསྡུས་པའི་བྱ་བ|{dharma}
ཆོས་སྤྱོད་པ|{dharmacaryA}
ཆོས་སྤྱོད་ཡན་ལག་བཞི་པ|{caturaMgadharmacaryA}
ཆོས་སྤྲིན|{dharmamegha}
ཆོས་འཕགས|{dharmodgata}
ཆོས་འཕེལ|{dharmavardhana}
ཆོས་དབང་ཕྱུག|{dharmezvara}
འཇམ་དབྱངས་ཆོས་དབང་ཕྱུག་བརྒྱད་པ|{aSTabhuja dharmadhAtubAgIzvara maJjughoSa}
ཆོས་དབྱིངས|{dharmadhAtu}
ཆོས་དབྱིངས་བསྟོད་པ|{dharmadhAtustotra}
ཆོས་དབྱིངས་གསུང་གི་དབང་ཕྱུག|{dharmadhAtuvAgIzvara}
ཆོས་དབྱིངས་གསུང་དབང|{dharmadhAtuvAgIzvara}
ཆོས་འབངས|{dharmadAsa}
ཆོས་འབྱུང|{trikoNa}
ཆོས་འབྱུང་བྱིན|{dharmAkaradatta}
ཆོས་འབྱུང་ཞི་བ|{dharmAkarazAnti}
ཆོསའབྲེལ|{dharmabandha}
ཆོས་སྦས|{dharmagupta}
ཆོས་སྦས་པ|{dharmaguptikAH}
ཆོས་སྦྱིན|{1) dharmada 2) dharmadatta}
ཆོས་སྦྱིན་པ|{dharmadAna}
ཆོས་སྦྱིན་མ|{dharmadattA}
ཆོས་མ་མཆིས་པ|{adharma}
ཆོས་མ་འདྲེས་པ་བཅུ་བརྒྱད|{aSTAdazAveNikadharmAH}
ཆོས་མ་ཡིན་པ|{adharma}
ཆོས་མ་ཡིན་པ་འདོད་པ|{adharmakAma}
ཆོས་མ་ཡིན་པ་གཞིག་པ|{adharmazamana}
ཆོས་མ་ལགས་པ|{adharma}
ཆོས་མང་སྲེད་པ|{bahudharmatRSNA}
ཆོས་མི་འགྱུར་བ་ཉིད|{dharmaniyAmatA}
ཆོས་མི་མཐུན་པ|{1) vidharman 2) vaidharmya}
ཆོས་མི་མཐུན་པ་ཅན|{vaidharmyavat}
ཆོས་མི་མཐུན་པ་ཉིད|{vaidharmya}
ཆོས་མི་མཐུན་པ་ཉིད་ཅན|{vaidharmyavat}
ཆོས་མི་མཐུན་པའི་དཔེ|{1) vaidharmyadRSTAnta 2) vaidharmyodAharaNa}
ཆོས་མི་མཐུན་པའི་དཔེ་ལྟར་སྣང་བ|{vaidharmyeNa dRSTAntAbhAsaH}
ཆོས་མི་མཐུན་དཔེ་ལྟར་སྣང་བ|{vai dharmyadRSTAntAbhAsa}
ཆོས་མི་མཐུན་མཚུངས|{vaidharmyasamA}
ཆོས་མིན|{1) adharma 2) adhArmika}
ཆོས་མིན་སྐྱེ་བོ|{adhArmikajana}
ཆོས་མིན་སྐྱེ་བོ་བཟུང་བ|{adhArmikajanodgraha}
ཆོས་མིན་ཕྱོགས་ལ་རབ་གནས་ཏེ|{adharmapakSasaMsthita}
ཆོས་མེད|{caNDAla}
ཆོས་སྨྲ་དང་དམ་པའི་ཆོས་ཉན་པ་ལ་གུས་པར་བྱ་བའི་གཏམ|{dharmavacanasaddharmazrAvakasatyakRtyakayA}
ཆོས་སྨྲ་བ|{1) dharmabhANa 2) dharmabhANaka 3) dharmavAdin}
ཆོས་སྨྲ་བའི་སླད་བཞིན་འབྲང་བ|{dharmabhANakasya anubaddhAH}
ཆོས་སྨྲ་བ་ཆེན་པོའི་གོ་འཕང་ལ་གནས|{dharmabhANakatvaM kArayati}
ཆོས་སྨྲ་བ་དང་ཉན་པ་དང་སྒྲ་སྐད་ཀྱི་མིང་ལ|{dharmadezanAzravaNAdinAmAni}
ཆོས་སྨྲས་པ|{dharmabhANaka}
ཆོས་བརྩེགས|{dharmakUTa}
ཆོས་ཚུལ|{1) dharmanaya 2) dharmanetrI}
ཆོས་ཚོང་བ|{dharmapaNana}
ཆོས་མཐསུངས་པ|{dharmasamatA}
ཆོས་འཚོང་བ|{dharmapaNana}
ཆོས་མཛོད|{dharmakoSa}
ཆོས་བཞི་བསྟན་པ|{caturdharmanirdeza}
ཆོས་བཞི་པ|{caturdharmaka}
ཆོས་བཞི་པའི་མདོ|{caturdharmakasUtra}
ཆོས་བཞི་པའི་རྣམ་པར་བཤད་པ|{[ caturdharmakavyAkhyAna ]}
ཆོས་བཞི་པའི་དབྱངས|{dharmazAntighoSa}
ཆོས་བཞིན་གཅོད་པ|{dharma}
ཆོས་བཞིན་སྤྱོད་པ|{dharma}
ཆོས་བཞིན་དུ|{dharmeNa}
ཆོས་བཞིན་དུ་ཁའམ་ཆ་འབུལ་བ|{dhArmikIkSitaM anupradAsyAmaH}
ཆོས་བཞིན་སྤྱོད་པ|{1) dharmAdhiraraNa 2) dharmAdhikAra}
ཆོས་བཞིན་བྱེད|{dhArmika}
ཆོས་ཟབ་མོ|{gambhIradharma}
ཆོས་ཟབ་མོ་ལ་བཟོད་པའི་ཕ་རོལ་ཏུ་སོན་པ|{gambhIradharmakSAntipArarmigataH}
ཆོས་ཟླ|{dharmacandra}
ཆོས་བཟང|{1) pratigraha 21) sudharman}
ཆོས་བཟང་བསྐལ་པ|{sudharmakalpa}
ཆོས་འོད|{dharmaprabhAsa}
ཆོས་ཡང་དག་པར་སྡུད་པ|{dharmasaMgIti}
ཆོས་ཡང་དག་པར་ལེན་པ་བཞིའི་མིང་ལ|{catvAridharmasamAdAnAni}
ཆོས་ཡིན་པས|{dharmatayA}
ཆོས་རབ་ཏུ་རྣམ་པར་འབྱེད་པ་ཡང་དག་བྱང་ཆུབ་ཀྱི་ཡན་ལག|{dharmapravicayasaMbodhyaMga}
ཆོས་རབ་ཏུ་རྣམ་པར་འབྱེད་པས་རྣམ་པར་དབྱེ་བ་བསྟན་པ་ལ་མཁས་པ|{dharmapravicayavibhaktinirdezakuzala}
ཆོས་ལ་སྐྱབས་ཚོལ་བ|{dharmatrANa}
ཆོས་ལ་ངེས་པར་རྟོག་པའི་བཟོད་པ|{dharmanidhyAnakSAnti}
ཆོས་ལ་ཆོས་ཀྱི་མིག|{dharmeSu dharmacakSuH}
ཆོས་ལ་རྟོན་པར་བྱའི་གང་ཟག་ལ་རྟོན་པར་མི་བྱ|{dharmapratisaraNena bhavitavyaM na pudgalapratisaraNena}
ཆོས་ལ་བརྟན་ཞིང་མི་ཕྱེད་པར་ཤིན་ཏུ་རྟེན་པ|{dharmadRDhAbhedyasunilambha}
ཆོས་ལ་མཐུ་ཚོལ་བ|{parAyaNa}
ཆོས་ལ་བདག་མེད་པ|{dharmanairAtmya}
ཆོས་ལ་གནས་པ|{dharmAzrita}
ཆོས་ལ་དབང་བ|{dharmavazitA}
ཆོས་ལ་མི་གནས་པ|{dharmAnAzrita}
ཆོས་ལ་མོས་པ|{dharmAdhimukti}
ཆོས་ལ་མོས་ཞིང|{dharmakAma}
ཆོས་ལ་རབ་ཏུ་སྦྱོར་བར་བྱའི|{dharmaprayuktena bbhavitavyam}
ཆོས་ལ་སེམས་པའི་ཀ་ཆེན|{dharmacintAmahAstambha}
ཆོས་ལ་སྲེད་པ|{dharmasneha}
ཆོས་ལ་སྲེད་པ་ཀུན་ཏུ་རྨོངས་པ|{dharmasnehasaMmoha}
ཆོས་ལས་བྱུང་བ|{dharmasaMbhava}
ཆོས་ལས་འབྱུང་བ|{1) dharmato nirgataH 2) dharmaniryAta}
ཆོས་ལུགས|{1) nIti 2) vyavahAra}
ཆོས་ལོགས་པས་དཀྲིས་པ|{mithyAdharmaparIta}
ཆོས་ཤེས|{dharmajJAna}
ཆོས་ཤེས་པ|{dharmajJAna}
ཆོས་ཤེས་པ་ལ་ནེམ་ནུར་མི་མངའ་བ|{niSkaMksadharmajJAna}
ཆོས་ཤེས་པའི་བཟོད་པ|{dharmajJAnakSAnti}
ཆོས་ཤེས་པར་འདོད|{jiJJAsyate}
ཆོས་སངས་རྒྱས|{dharmabuddha}
ཆོས་སུ་གྱུར|{dharmin}
ཆོས་སུ་འབྱིན|{dharmadUSaka}
ཆོས་སུ་འཛིན་པ|{dharmagrAha}
ཆོས་སོསོ་ཡང་དག་པར་རིག་པ|{dharmapratisaMcid}
ཆོས་སོ་སོར་ཡང་དག་པར་རིག་པ|{1) dharmapratisaMvid 2) dharmapratisaMvedin}
ཆོས་སྲིད|{dharmarAjya}
ཆོས་ཀྱི་སྲིད|{dharmarAjya}
ཆོས་སྲུང་སྡེ|{dharmaguptAH}
ཆོས་སྲུངས|{dharmaguptikAH}
ཆོས་སྲེད|{dharmaruci}
ཆོས་སྲོག|{dharmajIvita}
ཆོས་གསུམ་པ|{tridharmaka}
ཆོས་བསྲུང་པ|{dharmagupta}
མཆད་པ|{1) pramArita 2) mRtagRha}
མཆད་པར་བྱ་བ|{mahiman}
མཆན|{1) kakSa 2) kaccha}
མཆན་ཁུག|{1) kakSapuTa 2) kacchapuTa}
མཆན་ཁུང|{1) kakSa 2) kakSapuTa}
མཆན་ཁུང་གི་སྦྱོར་བ|{kakSapuTa}
མཆི|{1) upaimi 2) eSyati 3) 4) gacchAmi 5) ° gAmin 6) 7) prayami 8) yAmi 9) vadati 10) vrajAmi 11)}
བྲན་དུ་མཆི|{dAsyamupaimi}
སྐྱབས་སུ་མཆིའོ|{zaraNaM gaccAmi}
སངས་རྒྱས་རྣམས་ལ་སྐྱབས་སུ་མཆི|{buddhaM gacchAmi zaraNam}
རབ་ཏུ་མཆི|{prayAti}
སྐྱབས་སུ་མཆི|{zaraNaM prayAmi}
སྐྱབས་སུ་མཆི|{zaraNaM yAmi}
ཅེས་མཆིའོ|{evaM vadati}
གདོང་ལ་མཆི་ཟག|{uzrumukha}
མཆི་སྟེ|{AgacchAmi}
རྡོ་རྗེ་ཅན་ལ་སྐྱབས་སུ་མཆི|{namasyAmi vajriNAm}
སླར་མཆི་བའི་བར་དུ|{yAvat ... AgacchAmi}
མཆི་བར|{1) upasaMkramitum 2) caritum}
ལཇཔངས་རྒྱུ་ཞིང་མཆི་བར|{janapadacArikAM caritum}
མཆི་བར་བགྱི|{1) AgamiSyAmi 2) upasaMkramiSyAmi 3) upaimi 4) gamiSyAmi}
མཆི་བར་འགྱུར|{upasaMkrameyuH}
མཆི་བར་འགྱུར་བ|{upasaMkramiSyanti}
མཆི་མ|{1) azru 2) bASpa 3)}
གདོང་ནས་མཆི་མ་ཟག|{azrumukha}
མིག་མཆི་མ་ཕྱུང་བ|{ruNNanayanaH}
མཆི་མ་ཕྱུང་བ|{ruNNa}
མཆི་མ་འཛག|{azrupAta}
མཆི་མ་ལྷུང་བ|{azrupAta}
མཆི་མ་ཟག་བཞིན|{azrumukha}
མཆི་མའི་གདོང་གྱིས|{sAzrumukha}
མཆི་མའི་བཞིན|{azrumukha}
མཆི་མས་བརྣངས་ཏེ|{sAzrumukha}
མཆི་མས་བརྣངས་ཏེ་འཁོད་དོ|{sAzrukaNTho vyavasthitaH}
མཆི་མས་བརྣངས་པའི་སྙིང་གྱིས|{bASpoparudhyamAnahRdaya}
མཆི་མས་མིག་གང་སྟེ|{bASpapariplutAkSa}
མཆི་འཚལ་བ|{upasaMkramitukAma}
མཆི་བཞིན|{azrumukha}
མཆིག|{1) nizAdAzilA 2) zilA}
མཆིག་གུ|{nizAdAputra}
མཆིང་བུ|{kAca}
འདིའི་མཆིད་ནས་ཞེས་མཆིའོ|{eSa kathayati}
བློ་མཆིན་དག་ཀྱང་བདག་མ་ཡིན|{na medo 'ntrANi nApyaham}
མཆིན་པ|{plIhan}
མཆིལ་པ|{1) aMkuza 2) kalantaka 3) baDiza}
ཉའི་མཆིལ་པ|{matsyabaDiza}
མཆིལ་མ|{1) kheTa 2) zleSman}
མཆིལ་མ་སྐབས|{zleSman}
མཆིལ་མའི་ཐལ་བ|{kheTapiNDa}
མཆིལ་མའི་སྣོད|{1) kheTakaTAhaka 2) zleSmakaTAhaka}
མཆིལ་ལྷམ|{1) apAnat 2) pAdukA}
དེ་ཆོས་ཀྱི་སྟན་ལ་མཆིས་མ་ཐག་ཏུ|{samanantaraniSaNNasya ... tasya ... dharmAsanagatasya}
མཆོད་པ་བགྱིད་ཅིང་མཆིས་སོ|{kArAM kRtvA tiSThAmi}
འདི་ལ་ཐུགས་ངན་བགྱུར་ཅི་མཆིས|{kimatra zokaH kriyate}
ནུས་མ་མཆིས|{na zakyam}
མ་མཆིས་ཀྱི|{nAsti}
མཆིས་ཀྱིས་འཚལ|{abhyupeta}
མཆིས་ཏེ|{1) Agatya 2) gata 3) gatvA 4) sthita}
ཆོས་ཀྱི་ཁྲིའི་འོག་ལོགས་སུ་མཆིས་ཏེ|{dharmAsane gatAsmi}
མཆིས་ནས|{1) upasaMkramitvA 2) upasaMkramya 3) gatvA 4) niSadya 5) niSIditvA}
སྟན་ལ་མཆིས་ནས|{Asane niSadya}
སྟན་དེ་ལ་མཆིས་ནས|{tatrAsane niSIditvA}
མཆིས་པ|{1) upasaMkrAnta 2) prativasati 3) bhaveyA 4) syAt 5)}
འཁྲུག་པ་མ་མཆིས་པ|{anupAyAsa}
དགྲ་མམཆིས་པ|{akaNTaka}
ནད་འགོ་བ་མ་མཆིས་པ|{anupasarga}
དཔད་ཏུ་མ་མཆིས་པ|{aparimita}
མ་མཆིས་པ|{a °}
མཐསུངས་པ་མ་མཆིས་པ|{atulya}
མ་མཆིས་པར་འགྱུར་བ|{antardhApayet}
མཆིས་པར་བགྱིའོ|{1) upasaMkramitavyam 2) upasaMkramiSyAmi}
མཆིས་པར་འགྱུར་རོ|{upasaMkramayiSyAmaH}
མཆིས་མ་ཐག་ཏུ|{samanantaraniSaNNa}
མཆུ|{1) adhara 2) Aroha 3) oSTha 4) oSThatA 5) caJcu 6) tuNDa 7) maghA 8) mAgha}
མཆུ་གཉིས་དང་ནི་རྐན་ཚོགས|{tAlu+oSThapuTasaMyoga}
མཆུ་དང་ཞེང་དུ་ལྡན་པ|{ArohapariNAhasaMpanna}
མཆུ་རྣོན|{nyaMkuTA}
མཆུ་བིམ་བ་ལྟར་དམར་བ|{bimboSThi}
མཆུ་མེད|{anoSThaka}
མཆུ་དམར་བིམ་བ་འདྲར་གྱར་ཅིང|{bimboSThasaMpanna}
མཆུ་ཞེང|{AyAma}
མཆུ་ལས་སྐྱེས|{maghAbhava}
མཆུར་ཞེང་དུའམ་སྲིད|{AyAma}
མཆུས|{vakra}
མཆེ་བ|{1) daMSTra 2) daMSTrA 3) danta 4) viSANa}
མཆེ་བ་དཀར་བ|{zuklasaMSTra}
མཆེ་བ་གཅིག་པ|{ekadanta}
མཆེ་བ་འཇུགས་སུ་རུང་ཞིང་མི་སྡུག་པ|{vikarAlavikRtasaMSTra}
མཆེ་བ་མཉམ་པ|{samadaMSTra}
མཆེ་བ་དྲུག་ལྡན|{SaDdanta}
མཆེ་བ་ལྡད་བྱེད་པ|{vijR+Rmbh}
མཆེ་བ་རྣོ་བ|{tIkSNadaMSTra}
མཆེ་བ་བྱིན་གྱིས་ཕྲ་བ|{anupUrvadaMSTra}
མཆེ་བ་ཟླུམ་བ|{vRttadaMSTra}
མཆེ་བའི་སྡེ|{daMSTrasena}
མཆེ་གཙིགས་པ|{karAla}
མཆེད་གྱུར་པ|{dahyate}
མཆེད་པ|{1) Ayatana 2) prasavita 3) prasArita 4) vRddhi 5) vRddhiprApta}
མཆེད་པར་བྱེད་པ|{vistRNvanti}
མགོན་པོ་ལེགས་ལྡན་མཆེད་གསུམ|{bhrAtRtraya bhagavan mahAkAla}
མཆེར་པ|{yakRt}
མཆེལ|{avalambana}
མཆོག|{1) agra 2) 3) alam 4) utkRSTa 5) uttama 6) uttara 7) upama 8) ° tama 9) divya 10) para 11) parama 12) paramatA 13) pra ° 14) pradhAna 15) pravara 16) pravRddha 17) praSTha 18) mahat 19) vadatAMvara 20) vara 21) varAgra 22) viziSTa 23) zreyas 24) zreSTha 25) sat 26) sAra 27) su ° 28)}
ཆེས་མཆོག|{agratara}
བློན་པོའི་མཆོག|{agrAmAtya}
བཙུན་མོ་མཆོག|{agradevI}
སེམས་དཔའ་མཆོག་རྣམས|{agrasattvAH}
རྒྱལ་མཆོག|{jinottama}
ཆོས་དང་ཚོགས་ཀྱི་མཆོག་བཅས་ལ|{sahadharmaganottamAn}
ཆོས་མཆོག|{dharmottara}
མཆོད་གནས་མཆོག|{arcyatama}
མྱ་ངན་ལས་འདས་པ་མཆོགམཆོག|{nirvANaparamatA}
གྲོང་ཁྱེར་གྱི་ནི་མཆོག་ནས|{nagaravarataH}
ཐམས་ཅད་ཀྱི་ནང་ན་མགྱོགས་པའི་མཆོག|{sarvajavavara}
དལ་བའི་མཆོག|{kSaNavara}
བུ་མཆོག|{sutavara}
སྨན་པ་མཆོག|{varavaidya}
རབ་མཆོག|{pravara}
སྲས་མཆོག|{putravara}
ཁ་ལོ་སྒྱུར་བ་མཆོག|{satsArathi}
ལུས་མཆོག་ཅན|{sadvapuH}
དྲི་མེད་དྲི་བྲལ་མཆོག|{suvimalasunirmala}
མིག་མཆོག|{sulocana}
སྨན་པ་མཆོག|{suvaidya}
སྐྱེས་ཀྱི་མཆོག|{puMgava}
སྐྱེས་མཆོག|{puMgava}
ཆོས་ཀྱི་གཙོ་བོ་མཆོག|{dharmasarvasva}
བདུད་རྩི་མཆོག|{rasAyana}
སངས་རྒྱས་ཐེག་མཆོག|{buddhayAna}
གསེར་འགྱུར་རྩི་ཡི་རྣམ་པར་མཆོག་ལྟ་བུར|{rasajAtamativa vedhanIyam}
མཆོག་སྐྱོང|{pAla}
མཆོག་གི་རྒྱལ་མཚན|{dhvaja}
མཆོག་གི་རྒྱུར་གྱུར་པ|{uttamahetubhUta}
མཆོག་གི་སྒྲོལ་མ་རལ་པ་གཅིག་པའི་མན་ངག་གི་སྒྲུབ་ཐབས|{agratAraikajaTyupadezasAdhana}
མཆོག་གི་དང་པོའི་སངས་རྒྱས་ལས་ཕྱུང་བ་རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་དུས་ཀྱི་འཁོར་ལོ|{paramAdibuddhoddhRta zrIkAlacakra tantrarAja}
མཆོག་གི་དང་པོའི་སངས་རྒྱས་ལས་ཕྱུང་བ་རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་དུས་ཀྱི་འཁོར་ལོ་ཞེས་བྱ་བ|{paramAdibuddhoddhRta zrIkAlacakra nAma tantrarAja}
མཆོག་གི་བདུད་རྩི|{amRtasAra}
མཆོག་གི་སྤྱོད་པའི་སྨོན་ལམ|{agracaryApraNidhAna}
མཆོག་གི་དབང་པོའི་ཏོག|{varendraketu}
མཆོག་གི་རབ|{pravara}
མཆོག་གི་རིན་ཆེན་མ|{ratnottamA}
མཆོག་གིས|{nikAma °}
མཆོག་གིས་ཐུབ་པ་ཆེ|{mahAmuni}
མཆོག་དགའ|{pramodya, varAmoda}
མཆོག་ཏུ་དགའ་བ|{pramodya, varAmoda}
མཆོག་དགའ་གྲགས་པ|{pramodakIrti}
མཆོག་དགའི་རྒྱལ་པོ|{pramodyarAja}
མཆོག་ཉལ|{nikharva}
མཆོག་ཉིད|{1) agratA 2) zreSThatA}
མཆོག་ཏུ|{1) agra 2) atyanta 3) uttama 4) para 5) parama 6) pra ° 7) viziSTa 8)}
མཆོག་ཏུ་བཀྲབས|{zreyas}
མཆོག་ཏུ་བཀྲབས་པ|{zreyas}
མཆོག་ཏུ་གྱུར་པ|{agrtAM prAptaH}
མཆོག་ཏུ་དགའ|{pramodati}
མཆོག་ཏུ་དགའ་བ|{prAmodya}
མཆོག་ཏུ་དགའ་བཻ་རྒྱལ་པོ|{prAmodyarAja}
མཆོག་ཏུ་དགའ་བའི་སྔོན་དུ་འགྲོ་བའི་ཆོས་དགུའི་མིང་ལ|{nava prAmodyapUrvakA dharmAH}
མཆོག་ཏུ་ཆེས་ཤིན་ཏུ་ཕྲ་བ|{atisUkSmatama}
མཆོག་ཏུ་མཆོད་འོས|{varArha}
མཆོག་ཏུ་རྟོགས་པར་དཀའ་བ|{atidurvigAhya}
མཆོག་ཏུ་མཐོང་བར་དཀའ་བ|{paramadurlabhadarzana}
མཆོག་ཏུ་བསྡུ་བ|{jyAyas}
མཆོག་ཏུ་དཔའ་བའི་ལག་པ|{agravIrabAhu}
མཆོག་ཏུ་ཕྲ་བ|{atisUkSma}
མཆོག་ཏུ་བྱུང་བ|{1) utkRSTa 1) prakRSTa}
མཆོག་ཏུ་དབང་པོ་གསལ་བ|{varendraruci}
མཆོག་ཏུ་མི་འགྱུར་བའི་མདོ|{paramAkSarasukha}
མཆོག་ཏུ་མི་བཟད་པ|{surendra}
མཆོག་ཏུ་བཙན་པ|{paraM pramANam}
མཆོག་ཏུ་ཚ་བའི་དཔའ་བོ|{varakarakabhara}
