འལ་འོལ|འལ་ལེ་འོལ་ལེ vague/_imprecise
སྐྱོན|flaw/_fault; flawed/_faulty (reasoning/_conclusion)
སྐྱོན་མེད|faultless; flawless/_faultless
སྐྱོན་ཀུན་ཟད་ཡོན་ཏན་ཀུན་ལྡན|exhaustion of all flaws and endowment with all qualities [=buddhahood]
སྐྱོན་དུ་འགྱུར|. . . (gi) skyon du 'gyur ba - to entail a/_the flaw of . . .
སྐྱོན་ཆགས་པ|to develop faults/_flaws
སྐྱོང་བ|to maintain (one's experience of)/_protect/_sustain; to foster (a relationship with); isc. to continue (to experience)
སྐྱུར་བ|bskyur ba - to cast/_project/_get rid of
སླ་བ|easy (to . . . )
སླད་དུ|.་.་.་སླད་དུ for the purpose of . . .
སླད་པ|བསླད་པ to be corrupted/_contaminated/_adulterated/_tainted/_sullied; isc. distorted
སླར་ཡང|furthermore; moreover; in addition, . . . ; once again, . . .
སློབ་དཔོན|spiritual master; preceptor (monastic)
སློབ་པ|། བསླབ་པ to train (in)/_learn/_teach
སློབ་པའི་ལམ|path involving learning
སློང|སློང་བ upheaval/_challenge; to rise up
སློང་བ|upheaval/_challenge; to rise up
སྨིག་རྒྱུ|mirage
སྨིན་པ|to ripen/_mature/_bring to full experssion
སྨོ་བ|to tell/_relate/_remark; སྨོས་པ to tell/_relate/_remark
སྨོད་པ|to belittle/_denigrate
སྨོན་ལམ|aspiration (prayer)
སྨོན་མཁྱེན|སྨོན་ནས་མཁྱེན་པ knowledge/_wisdom that arises through deliberate attention
སྨོན་པ|aspiration; aspiration/_inspiration; to aspire/_be inspired; to speculate
སྨོན་ནས་མཁྱེན་པ|knowledge/_wisdom that arises through deliberate attention
སྨོན་པ་མེད་པ|absence of speculation
སྨོན་པའི་སེམས|bodhicitta/_attitude of aspiration
སྨོན་པའི་སེམས་བསྐྱེད་པ|to give rise to/_arouse bodhicitta as aspiration
སྨོས་པ|སྨོ་བ to tell/_relate/_remark
སྨོས་ཅི་དགོས|to say nothing of . . . ; what need is there to speak of . . . ?
སྨྲ་བ|to say/_pronounce (something to be something); to profess/_opine/_propound; to affirm (philosophically)
སྨྲ་མེད|indescribable
སྨྲ་བསམ་བརྗོད་མེད|indescribable, inconceivable/_unimaginable, and inexpressible
སྨྲ་བསམ་བརྗོད་ལས་འདས་པ|beyond description; beyond description, imagination, and/_or expression
སྨྲས་པ|(at end of text)='(a few words) in conclusion . . . '
སྨྱོ་འབོག|psychotic episodes and fits
སྨྱོ་འབོགས|psychotic episodes and fits
སྨྱོ་བ|to go mad/_become insane; insanity; psychotic episode
སྨྱོན་པ|madman/_person/_lunatic; 'crazy yogi'; insane/_crazy
སྣ|nose
སྣ་རེ|a few; single/_solitary
སྣ་ཚོགས|myriad; various; all (its/_their) variety; isc. multi-faceted
སྣ་ཟིན་པ|to take/_have taken the first step; to set out/_embark
སྣ་ཚོགས་བྲལ་བའི་རིག་པ|awareness free of complication
སྣ་ཚོགས་སུ་ཤར་བ|arising as a/_in myriad array
སྣའི་དབང་པོ|olfactory sense faculty
སྣའི་རྣམ་ཤེས|olfactory consciousness; སྣའི་རྣམ་པར་ཤེས་པ olfactory consciousness
སྣའི་རྣམ་པར་ཤེས་པ|olfactory consciousness
སྣག་ཕྱི་རིས་མེད|without linear time frame
སྣང་བ|+ snang yul - sensory appearances in general and your individual perception of sense objects [cf. CYDz, fol. 72. a.3]. sensory appearance; apparent phenomenon; perceived experience; apparent manifestation; vision (as in snang ba bzhi); illumination; to appear/_become apparent/_be evident/_manifest; to appear/_seem to (be) . . . ; (to give an) impression/_appearance (of); to take form; perceptions; isc. experience; isc. presence; isc. (enlightened) perspective (as is ye shes kyi snang ba or rig pa'i snang ba or chos sku'i snang ba)
སྣང་ཆ|apparent/_manifest aspect/_quality
སྣང་གླུ|illuminating song
སྣང་གསལ|to illuminate; illuminating (lamp)
སྣང་མེད|nonapparent/_nonmanifest
སྣང་ངོ|(-gi) snang ngo(r) - in the perception(s) of . . . ;on the level of manifest appearance/_apparent reality
སྣང་ཉམས|visionary experience*
སྣང་རྐྱེན|conditions accounting for the manifestation of apparent phenomena
སྣང་སེམས|mind and/_experiencing apparent phenomena
སྣང་ཤེས|awareness of sensory appearances
སྣང་སྲིད|(world of) appearances and possibilites
སྣང་སྟོང|unity of appearance/_manifestation/_perception and emptiness; (simultaneously) apparent/_manifest/_perceptible and/_yet empty
སྣང་ཚུལ|apparent/_manifest mode
སྣང་ཡུལ|སྣང་བའི་ཡུལ apparent (sense) object/_environment; sense object that manifests; isc. the/_one's perception of sense objects [cf. Longchenpa's distinction between snang ba (sensory appearances in general) and snang yul (the/_one's individual perception of these as sense objects)]
སྣང་ཞེན|fixated perception; fixation on sensory appearances
སྣང་སྲིད་སྣོད་བཅུད|possible appearances and beings in the universe; universe of appearances and possibilities; isc. universe of possibilities
སྣང་སྲིད་ཐམས་ཅད|entire world of all appearances and possibilities
སྣང་སྲིད་གཞིར་གཞེངས|possible appearances and beings arising within the ground - of being
སྣང་སྲིད་འཁོར་འདས|(world of) appearances and possibilities, whether samsara or nirvana
སྣང་བའི་ཆོས|phenomena that appear
སྣང་བའི་ཡུལ|apparent (sense) object/_environment; sense object that manifests; isc. the/_one's perception of sense objects [cf. Longchenpa's distinction between snang ba (sensory appearances in general) and snang yul (the/_one's individual perception of these as sense objects)]
སྣང་ལ་རང་བཞིན་མེད་པ|manifest yet without inherent/_self-nature
སྣང་བ་བཞི|four visions*
སྣང་བ་གསུམ|three visions
སྣང་བ་མཐའ་ཡས|Amitabha/_Limitless Illumination
སྣང་བ་ཐུག་ཕྲད|sensory appearances directly presenting themselves; the direct encounter with sensory appearances
སྣང་བ་ཅེར་བཞག|resting in the immediacy of sensory appearances
སྣང་བ་མཆེད་པ|enhancement of appearance
སྣང་བ་ཐོབ་པ|attainment of appearance [?]
སྣང་བ་ཅོག་བཞག|state of resting imperturbably/_imperturbale rest/_presence with regard/_in relation to sensory appearances
སྔ་འགྱུར|early translation (school) [=rNying ma]
སྔ་ལྟས|foreshadowing/_premonition
སྔ་ཕྱི|earlier and later (phases); linear time frame; temporal(ity)
སྔ་རྒོལ|opponent/_defendant (in debate); holder of initial position to be refuted
སྔ་ཕྱི་མེད་པ|atemporal
སྔ་འདྲེས་གཅིག་གིས་ཉེར་མ་སོང|not the slightest bit (closer to . . . )
སྔགས|mantra [glossed as yid skyob pa=manas traya='that which guards the mind']
སྔགས་ཀྱི|tantric [as preferable to literal 'mantric']
སྔོན་འགྲོ|preliminary (practice)
སྔོན་ཆད|previously/_formerly
སྔོན་དུས་ཀྱི་སྲིད་པ|life between birth and death as a phase of conditioned existence
སྔོན་གྱི་སྲིད་པ|སྔོན་དུས་ཀྱི་སྲིད་པ life between birth and death as a phase of conditioned existence
སྔོན་ལས་འཕྲལ་རྐྱེན|previous karma or immediate circumstances
སྔོན་ཐོག་ཏུ|in the immediacy of what has always been the case
སྣོད|candidate/_(potential) recipient; container/_vessel; isc. repository
སྣོད་བཅུད|the universe; the (inanimate and animate) world as a container and its contents
སྣོད་དུ་རུང་བ|(to be a(n)) suitable recipient
སྣོད་དུ་མི་རུང་བ|(to be a(n)) unsuitable recipient
སྣོན་པ|prolongation; to prolong
སྣུབ་པ|to subside/_sink/_be lowered/_fall/_falter; isc. to disappear/_fade from view; to be eclipsed
སྙམ་པ|think; to think/_ponder/_wonder; to suggest (in debate)
སྙན་བསྔག|poetics
སྙེགས་པ|to excel in
སྙེམས་ཐག|སྙེམས་ཐག་གཅོད་པ - (to experience the collapse/_breaking down of one's) (proud) resistance
སྙེམས་བྱེད་ཀྱི་བདུད|mara creating complacency
སྙིགས་དུས|times of (spiritual) degeneration
སྙིགས་མ|dreg; (spiritual) degeneration
སྙིགས་མའི་དུས|times of (spiritual) degeneration
སྙིགས་མ་ལྔ|five kinds of/_fivefold degeneration
སྙིང|heart/_pith
སྙིང་དབུས|the very heart; the center of the heart
སྙིང་ག|heart center
སྙིང་གཏམ|heartfelt advice
སྙིང་ཁྲག|heart's blood
སྙིང་པོ|heart (essence); isc. (that is/_lies) at the very heart of . . . ; isc. quintessence; isc. essence mantra
སྙིང་པོའི|quintessential; of the heart essence (of . . . )
སྙིང་རྗེ|compassion; compassionate [one of the nine moods of dance (mind)]
སྙིང་སྟོབས|sattva; purity/_immaculacy/_sattva quality
སྙིང་ཐིག|heart drop
སྙིང་ཁོང་རུས་པའི་གཏིང་ནས|in one's bones, from the depths of one's heart
སྙིང་རྗེའི་མགྲོན|guests (invited out) of compassion
སྙིང་རེ་རྗེ|how worthy of compassion!
སྙིང་རྗེ་མེད་པ|cruel/_ruthless
སྙིང་རྗེ་མེད་པ་བསྐལ་པ་ལས་ཀྱི་རླུང|ruthless apocalyptic subtle energy/_air of karma
སྙིང་ཐག་པ་ནས|from the depths of one's heart
སྙོམས་འཇུག|snyoms par 'jug pa; སྙོམས་པར་འཇུག་པ (to settle/_settling in) meditative stabilization
སྙོམས་པ|impartial; even and stabilized
སྙོམས་འཇུག་གི་སྒྲིབ་པ|obscurations to states of meditative stabilization
སྙོམས་པར་འཇུག་པ|(to settle/_settling in) meditative stabilization
སོ་མ|fresh; ordinary (as in mind)
སོ་སོ|each and every; specific; individual; various; respective; separate (from one another)
སོ་སོའི|individual; respective
སོ་སོར|individually; variously; respectively
སོ་ཡིག|seed syllable
སོ་སོར་འབྱེད་པ|/_dbye/_phye ba - to divide (up)/_analyze in detail
སོ་སོར་ཕྱེ་བ|'byed pa/_dbye ba - to divide (up)/_analyze in detail
སོ་སོར་དབྱེ་བ|'byed pa/_phye ba - to divide (up)/_analyze in detail
སོ་སོར་ཐར་པ|individual liberation
སོ་སོར་ཡང་དག་པར་རིག་པ་བཞི|སོ་སོ་ཡང་དག་རིག་པ་བཞི four states of authentic discerning awareness
སོ་སོར་རྟོག་པ|discerning; discernment
སོ་སོར་རྟོག་པའི་ཤེས་རབ|discerning (aspect of) sublime knowing/_wisdom/_transcendent knowledge
སོ་སོར་རྟོག་པའི་ཡེ་ཤེས|discerning timeless awareness
སོ་སོ་རང་རིག་པ|individual self-knowing awareness
སོ་སོ་སྐྱེ་བོ|ordinary mortal individual
སོ་སོ་ཡང་དག་རིག་པ་བཞི|སོ་སོར་ཡང་དག་པར་རིག་པ་བཞི four states of authentic discerning awareness
སོ་སོ་ཡང་དག་པར་རིག་པ|authentic/_correct discerning awareness
སོགས་པ|ལ་སོགས་པ and so forth/_et cetera; such . . . as . . .
སོང་བ|.་.་.་ལ་སོང་བ to go (pf.); to lead to/_have led to . . . ; isc. to be experienced as . . . ; isc. to be(come)
སོར་བཞག|resting naturally
སོར་ཆུད་པའི་སྟོབས|power of restoration
སྤང་བླང|སྤང་ལེན (ordinary) moral choice/_decision; renunciation/_rejection and/_or acceptance/_indulgence; isc. reaction
སྤང་བྱ|factor to be removed/_renoucned/_rejected/_abandoned; object of renunciation
སྤང་གཉེན|སྤང་གཉེན་མེད་པ (without/_involving no) antidotes used in renunciation/_renunciation through using antidotes
སྤང་ལེན|སྤང་བླང (ordinary) moral choice/_decision; renunciation/_rejection and/_or acceptance/_indulgence; isc. reaction
སྤངས་བླང|སྤངས་ལེན (ordinary) moral choice/_decision; renunciation/_rejection and/_or acceptance/_indulgence; isc. reaction
སྤངས་ལེན|སྤངས་བླང (ordinary) moral choice/_decision; renunciation/_rejection and/_or acceptance/_indulgence; isc. reaction
སྤངས་ཐོབ|renunciation and/_or attainment
སྤར|picture/_edition/_printing (of a book); publication
སྤེལ་བ|to cause to increase/_spread
སྤེལ་སྔགས|mantra for increase
སྤོབས་པ|self-confidence
སྤོད|spice/_seasoning
སྤོང་བ|abandonment/_renunciation; to abandon/_remove/_renounce; to eliminate (e.g. 'gyu ba); to reject (e.g., sensory appearances)
སྤོང་བྱེད|factor ensuring that . . . is abandoned
སྤོང་བའི་གཉེན་པོ|antidote involving abandonment/_renunciation (of negative factors)
སྤོས|incense
སྤོས་འབར|(gesture of) lighting incense (in dance)
སྤོས་རྒྱ|incense clock; (continuously burning) incense clock
སྤྲིན|cloud
སྤྲིན་ཕུང|banks of clouds
སྤྲོ་བ|(to feel) enthusiasm/_inspiration/_rapture; to send forth/_disperse (trans.)
སྤྲོ་བསྡུ|complexity and simplicity; being complex or simple; to complicate or simplify; analysis and synthesis; proliferation and reduction/_subsiding/_resolution (of thoughts/_concepts); shining (forth) and reconverging (of light); isc. multiply and dwindle; isc. emanation and resolution; isc. vacillation/_vacillate/_waver [e.g. garuda is spro bsdu med pa in sky]
སྤྲོས་བཅས|སྤྲོས་པ་དང་བཅས་པ elaborate/_involving (conceptual) elaboration; inclined to elaboration; elaborate (empowerment)*
སྤྲོས་བྲལ|སྤྲོས་པ་དང་བྲལ་བ free of/_beyond /_freedom from/_transcendence of (conceptual) elaboration(s); unembellished
སྤྲོས་མེད|unelaborate; སྤྲོས་པ་མེད་པ unelaborate/_without (conceptual) elaboration; disinclined to elaboration; unelaborate (empowerment)unelaborate
སྤྲོས་མཐའ|སྤྲོས་པའི་མཐའ extreme/_limitation imposed by/_due to (conceptual) elaboration
སྤྲོས་པ|(conceptual) elaboration(s); embellishment
སྤྲོས་པའི་མཐའ|extreme/_limitation imposed by/_due to (conceptual) elaboration
སྤྲོས་པའི་མཐའ་དང་བྲལ་བ|free of/_beyond/_freedom the limitations of (conceptual) elaborations/_from limits imposed by/_due to (conceptual) elaborations
སྤྲོས་མཐའ་བྲལ་བ|སྤྲོས་པའི་མཐའ་དང་བྲལ་བ free of/_beyond/_freedom the limitations of (conceptual) elaborations/_from limits imposed by/_due to (conceptual) elaborations
སྤྲོས་པ་དང་བྲལ་བ|free of/_beyond /_freedom from/_transcendence of (conceptual) elaboration(s); unembellished
སྤྲོས་པ་དང་བཅས་པ|elaborate/_involving (conceptual) elaboration; inclined to elaboration; elaborate (empowerment)*
སྤྲོས་པ་མེད་པ|unelaborate/_without (conceptual) elaboration; disinclined to elaboration; unelaborate (empowerment)*
སྤྲུལ་པ|emanation; phantom
སྤྲུལ་སྐུ|nirmanakaya; dimension/_stratum of physical emanation; isc. incarnate master
སྤྲུལ་པ་རྣམ་བཞི|four distinct modes of emanation
སྤྲུལ་པའི་སྐུ|nirmanakaya; dimension/_stratum of physical emanation; isc. incarnate master
སྤྲུལ་པའི་ལྟད་མོ|phantasmagoria
སྤུ་ཙམ|even a hair('s tip worth)/_hairsbreadth
སྤུ་རྩེ་ཙམ|even a hair('s tip worth)/_hairsbreadth
སྤུན་པོ|chaff
སྤུན་ཐག|common thread running through . . . ; underlying principle; intervention/_effect
སྤྱན|deeper vision; (sublime) state/_level of insight; (higher/_deeper faculty of ) vision; way of seeing
སྤྱན་འདྲེན|invite; སྤྱན་དྲང༼ས་པ༽ to invite; invitation
སྤྱན་དྲང|invite; སྤྱན་འདྲེན་པ to invite; invitation
སྤྱན་དྲངས|invite; སྤྱན་འདྲེན་པ to invite; invitation
སྤྱན་ལྔ|five (sublime) states/_levels of deeper/_higher vision/_insight/_ways of seeing
སྤྱི་བླུགས|(lit.) anointment; sanctity; 'total/_deep immersion' (experience) [?]
སྤྱི་ཆིངས|common context
སྤྱི་དོན|overview
སྤྱི་དཔལ|universal/_general splendor
སྤྱི་གནད|general/_universal key point
སྤྱི་གཞི|common/_universal ground
སྤྱི་གཟུགས|universal form
སྤྱིའི་མཚན་ཉིད|general/_nonspecific (defining) characteristic
སྤྱིར་བཏང|སྤྱིར་ན། དུ in general/_generally speaking, . .
སྤྱིར་བསྟན་པ|general presentation
སྤྱོད་ལམ|(code of) conduct
སྤྱོད་པ|(authentic) conduct/_behavior; to behave/_conduct (oneself); to participate in/_engage in/_appreciate; to enact (conduct)/_be involved with; to avail oneself of; to use; isc. to embrace
སྤྱོད་རྒྱུད|charyatantra/_tantra of conduct
སྤྱོད་ཡུལ|range of (finite) experience; reach; sphere of activity/_experience; domain/_province/_scope/_spectrum; isc. dimension
སྤྱོད་པའི་རྒྱུད|charyatantra/_tantra of conduct
སྤྱོད་ཡུལ་དུ|. . . (kyi) spyod yul (du) - to be within the reach/_province of . . .
སྤྱོད་ཡུལ་ཡོངས་སུ་དག་པ|purification of one's entire range/_sphere of perception/_activity
སྤྱོད་པ་ལ་གཤེགས་པ|to engage in tantric conduct
སྤྱོད་པ་རྣམ་བཞི|four kinds of authentic conduct
སྤྱོད་པ་རྣམས་སྦྱོང་བའི་ཆོས|spiritual teachings for refining behavior patterns
སྲ་བ|incorruptibility; incorruptible; ('gzhan gyis gcod du med pa'); (one of seven vajra qualities)
སྲང|pathway
སྲང་དུ་འཛུད་པ|to 'put to the test'; to 'narrow it down'
སྲས|son; spiritual heir
སྲས་མོ|daughter; spiritual heir
སྲེད་པ|thirst/_craving (one of twelve links of interdependent connection)
སྲེག་པ|བསྲེག་པ to incinerate/_burn (up)
སྲི་ཞུའི་མགྲོན|guests (invited out) of reverence
སྲིད་གསུམ|three planes/_states of (conditioned) existence
སྲིད་མཐའི|(bodhisattva in his/_her) final incarnation
སྲིད་པ|conditioned existence/_state(s) of being; becoming; (to take) ordinary existence/_being (one of twelve links of interdependent connection)
སྲིད་པའི|of conditioned existence; cosmic (in certain cases); . . . of conditioned existence; cosmic (in certain cases)
སྲིད་ཞི|conditioned existence and the state of peace (=samsara and nirvana); isc. the material world and that of the spirit
སྲིད་པའི་བར་དོ|intermediate state of possible alternatives for rebirth
སྲིད་པའི་རྩེ་མོ|pinnacle (state) of/_in conditioned existence (4th of 4 states in formless realm)
སྲིད་པ་བཞི|four phases of conditioned existence
སྲིད་པ་གསུམ|three planes/_states of (conditioned) existence
སྲིད་པ་བར་དོ|intermediate state of possible alternatives for rebirth
སྲིད་མཐའི་བྱང་ཆུབ་སེམས་དཔའ|bodhisattva in his/_her final incarnation
སྲིན་པོ|bloodthirsty demon
སྲོག|life force
སྲོག་འཁོར|life force cakra
སྲོག་ཆགས|creature
སྲོག་གཅོད|cutter of life force; murder/_killing/_taking life; (to slay/_kill)
སྲོག་རྩ|aorta; lifeline
སྲོག་རྩོལ|(yogic practices for) harnessing and channelling subtle energy
སྲོག་ཤིང|central axis; mainstay
སྲོག་འཛིན་གྱི་རླུང|subtle energy maintaining life force
སྲོག་ལ་དབབ་པ|། འབབས་པ to be (potentially) life threatening
སྲོག་ལ་འབབས་པ|། དབབ་པ - to be (potentially) life threatening
སྲུང་འཁོར|protection circle
སྲུང་བ|to uphold/_maintain/_preserve/_observe/_guard (against); isc. to follow; guardian
སྲུང་མ|guardian (deity)
སྟ་གོན|preparatory phase (of major empowerment)
སྟབས|manner/_attitude/_step; stance
སྟན|seat
སྟན་ཐོག་གཅིག་ཏུ|in a single sitting; in a single sitting/_session
སྟངས|manner/_mode/_way of doing; stance; one's perspective of . . . ; stance/_step (in dance)
སྟངས་སྟབས|step/_movement (in dance)
སྟེ་ཆད་པ|cut off from one another
སྟེན་པ|བསྟེན་པ to rely/_depend on
སྟེང་དུ|right in . . . ; above/_on top of . . . ; isc. in and of itself as . . . ; isc. in the context of . . .
སྟེང་ན|right in . . . ; above/_on top of . . . ; isc. in and of itself as . . . ; isc. in the context of . . .
སྟེང་འོག་གི་རླུང|upper and lower (subtle) energies
སྟེང་འོག་མེད་པ|has no/_without division into higher or lower
སྟོབ་པ|བསྟབ་པ to serve (remains)
སྟོབས|power; strength/_power
སྟོབས་བཅུ|ten strengths
སྟོབས་ཀྱིས|on the strength of. . . . ; isc. due to . . . /_on the basis of . . .
སྟོབས་ལྔ|five strengths
སྟོན་པ|teacher; to present/_demonstrate/_set forth/_reveal/_teach; isc. to treat/_deal with/_address; isc. to define; isc. to (be) discover(ed)
སྟོང་འབྱམས|[in positive sense] vast range of emptiness; [in negative sense] void (state)
སྟོང་ཆ|quality/_aspect of emptiness (of mind)
སྟོང་ཆད|inert/_nihilistic void (state)
སྟོང་གསལ|unity of emptiness and lucidity; (simultaneously) empty yet lucid
སྟོང་གཟུགས|empty form; སྟོང་པའི་གཟུགས,་སྟོང་པའི་རང་གཟུགས form(s)/_expression(s) of emptiness; isc. empty form(s)
སྟོང་ཧད|abrupt emptiness
སྟོང་མུན|obscure/_nebulous emptiness
སྟོང་པ|empty/_emptiness; isc. nothingness. . . . gis stong pa - devoid/_empty of . . .
སྟོང་ར|hollow form/_framework
སྟོང་ཐུན|resumé
སྟོང་ཡལ|to resolve/_resolving/_vanish into emptiness
སྟོང་ཡུལ|sense objects, which are inherently empty
སྟོང་དང་པོ་སྤྱི་ཕུད་ཀྱི་འཇིག་རྟེན་གྱི་ཁམས|thousandfold universe; chiliocosm
སྟོང་པ་ཉིད|emptiness
སྟོང་པ་ཆེན་པོ|supreme emptiness
སྟོང་སྟོང་པོ|sheer emptiness
སྟོང་པར་བྱེད་པ|to reduce to nothingness
སྟོང་པའི་གཟུགས|form(s)/_expression(s) of emptiness; isc. empty form(s)
སྟོང་པའི་རང་གཟུགས|(natural) expression(s) of emptiness; inherent form(s) of emptiness
སྟོང་པའི་གཟུགས་བརྙན|expression/_reflection of emptiness
སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས|three-thousand-fold universe; trichiliocosm
སྟོང་གཉིས་པ་བར་མའི་འཇིག་རྟེན་གྱི་ཁམས|two-thousand-fold universe; bichiliocosm
སྟོང་ཉིད་སྙིང་རྗེའི་སྙིང་པོ་ཅན|emptiness imbued with the heart of compassion
སྟོང་ཉིད་ཉི་ཚེ་བ|limited emptiness (=mere voidness/_absence)
སྟོངས་གྲོགས|ally/_companion
སྟོངས་པ|to be rendered null and void/_negated/_emptied
སྟོར་བ|to cast aside
སྩོལ་བ|བསྩོལ་བ to confer/_grant/_bestow; to ensure (benefit)
སྟུག་པོ་བཀོད་པ|Ghanavyuha/_(pure realm of) Dense Array
སུ|who; who/_what(ever); anyone/_thing
སུལ|ravine/_fissure/_crevice/_fold
སུན་ཕྱུང་པ|སུན་འབྱུང་བ to undermine [in logic]
སུན་འབྱུང་བ|སུན་ཕྱུང་པ to undermine [in logic]
སུན་འབྱིན་པ|to disown; to be discouraged/_disheartened/_disenchanted; - to undermine/_attack/_disprove [another's philosophical position]
སུན་འབྱིན་པའི་སྟོབས|power of disenchantment (i.e., with further wrongdoing)
སུན་འབྱིན་པའི་གཉེན་པོ|antidote involving direct confrontation
ཏ་ན་ག་ན|union and liberation [=sbyor sgrol]
ཏེ|te/_ste/_de - [colon or m-dash]; [can imply] ' . . . ; rather, . . . '
ཐ་དད|separate/_distinct(ive) (from one another); isc. different (from one another)
ཐ་མ|at the very least . . .
ཐ་མལ|(state of) complete ordinariness; simple (state)
ཐ་སྙད|designation by consensus; conventional/_consensual designation/_fiction/_paradigm; isc. idea
ཐ་ཚིག|oath
ཐ་མལ་གྱི|(in the) ordinary/_usual/_conventional (sense)
ཐ་མལ་པ|(completely) ordinary/_usual
ཐ་མལ་གྱི་ཤེས་པ|completely ordinary/_simple awareness
ཐ་དད་པ|separate/_distinct(ive) (from one another); isc. different (from one another)
ཐ་དད་པའི་མཐའ|limitation of separateness; extreme/_limitation of separateness/_distinctness
ཐབས|(skillful/_expedient) means
ཐབས་གཅིག|( . . . dang) thabs gcig - (to be) congruent/_consistent with . . .
ཐབས་ལམ|path of skillful means
ཐབས་ཀྱི་ལམ|path of skillful means
ཐབས་མཁས་པ|skillful in means; skillful expediency
ཐད་ཀར|straightforwardly/_directly; isc. patently
ཐད་དྲང་དུ|in a straightforward manner
ཐག་པ|rope
ཐག་ཆོད་པ|decision; /_gcod /_bcad pa - to decide/_reach a decision; decisive experience; determination
ཐག་བསྲིང་བ|prolongation/_extension
ཐག་བསྲིང་བའི་གཉེན་པོ|antidote involving prolongation/_extension
ཐག་བསྲིང་བྱེད་པ|to prolong/_extend
ཐག་གཅོད་པ|/_chod/_bcad pa - to decide/_reach a decision; decisive experience; determination
ཐག་བཅད་པ|/_chod/_gcod pa - to decide/_reach a decision; decisive experience; determination
ཐལ|. . .r thal - to require/_follow logically; it logically follows that . . . ; isc. to reach/_arrive at/_be left with . . .
ཐལ་འགྱུར|(proponent of) the consequence/_syllogistic approach
ཐལ་ཕྱིན|penetration
ཐལ་འགྱུར་པ|(proponent of) the consequence/_syllogistic approach
ཐལ་ཆེས་པ|(to go to) the other extreme; (to be) overly confident/_presumptuous
ཐལ་ཆེ་བ|extreme; (to go to) the other extreme; (to be) overly confident/_presumptuous
ཐལ་ཕྱིན་བཞི|four penetrations; four penetrations [in Vajrakilaya teachings]
ཐམས་ཅད|entire/_whole/_all/_every
ཐམས་ཅད་དུ|ཐམས་ཅད་དུ་.་. in all ways . . .
ཐམས་ཅད་པ|all; under any and all circumstances
ཐམས་ཅད་པའི|under any and all circumstances
ཐམས་ཅད་སྟོང་པ|total emptiness
ཐམས་ཅད་འབྱུང་བའི|. . . from which everything arises
ཐམས་ཅད་མཁྱེན་པ|omniscient; Omniscient One [title]
ཐན|portent/_augury
ཐན་པ|drought
ཐང་ལྷོད་མེད་པ|unflagging
ཐར་པ|liberation
ཐར་པ་ཆ་མཐུན་གྱི་ལས|karma that is in accord/_harmony with liberation; isc. actions that lead/_direct one toward liberation
ཐེ་ཚོམ|doubt; (to entertain) doubt
ཐེ་ཚོམ་ཀྱི་སྒྲོ་འདོགས|speculative doubt
ཐེག་པ|spiritual approach
ཐེག་པ་དགུ|ཐེག་པ་རིམ་པ་དགུ nine (stages of) spiritual approaches
ཐེག་པ་གསུམ|three yanas/_spiritual approaches
ཐེག་པ་རིམ་པ་དགུ|nine (stages of) spiritual approaches
ཐེག་པ་ཆེན་པོ|greater appraoch/_mahayana
ཐེག་པ་ཆུང་ངུ|lesser approach/_hinayana
ཐེར་ཟུག|constant
ཐེར་ཟུག་པ|constant
ཐིབས་སེ་ཐིབ|(to gather) in throngs/_throng (together) densely/_thickly
ཐིག་ལེ|bindu; sphere (of being); edgeless expanse; isc. drop
ཐིག་ལེའི་ཀློང|expansive sphere
ཐིག་ལེ་གཅིག|universal sphere/_edgeless expanse
ཐིག་ལེ་ཉག་གཅིག|unique sphere (of being)/_edgeless expanse
ཐིག་ལེ་སྟོང་པའི་སྒྲོན་མ|lamp of empty spheres*
ཐིམ་པ|to dissolve/_be absorbed (into)
ཐིམ་ལ་མ་རྨུགས་པ|indwelling/_inwardly directed but not dull
ཐོབ་བྱ|object of attainment; what is/_factor to be attained/_acquired; object of attainment/_acquisition
ཐོབ་བྱེད|factor of attainment; means/_factor of attainment
ཐོབ་པ|acquisition; to attain/_achieve/_acquire/_gain
ཐོད་རྒལ|surpassing ordinary experience/_the pinnacle point; (making) the final leap (into primordial being)*
ཐོག་འབུབས|dome (of mansion)
ཐོག་མའི|original; initial/_first; (at/_as the) source; (at the very) beginning; isc. primordial(ly)
ཐོག་ཏུ|. . . thog tu - [in cases of rig pa, for example] (directly) in the immediacy of . . . ; in the immediate presence/_perception/_moment/_instant/_fact of . . . [in cases of sems + yul, for example] in direct/_immediate response to . . .
ཐོག་མཐའ་མེད་པ|beginningless and endless; without beginning or end
ཐོག་མཐའ་བར་མེད|without beginning, middle, or end
ཐོག་བབས་ཆེན་པོ|supreme and innate (state of) immediacy
ཐོག་བབས་ཆེན་པོའི་ཏིང་ངེ་འཛིན|meditative absorption as the supreme and innate state of immediacy
ཐོག་མའི་དབྱིངས|original basic space; basic space as/_at the source
ཐོག་མའི་མགོན་པོ|original guide
ཐོག་མ་མེད་པའི་དུས|beginningless time
ཐོག་མ་མེད་པའི་དུས་ཀྱི་དབྱིངས|basic space of beginningless time
ཐོག་ཏུ་བབ་པ|ཐོག་ཏུ་འབེབས་པ to (be of) immediate concern/_concern for the moment
ཐོག་ཏུ་འབེབས་པ|ཐོག་ཏུ་བབ་པ to (be of) immediate concern/_concern for the moment
