ཀུད|བཀུ ND.gives as the present of ཀུད.
སྐུད|Present: སྨན་སོགས TD, LZ, CD, ND, DK, DS, TC. སྣུ་མ་སོགས DK. \nPast: བཀུ TD, LZ, CD, ND, DK, DS, TC.\nFuture: སྐུས TD, LZ, CD, ND, DK, DS, TC.\nImperative: བསྐུ TD, LZ, CD, ND, DK, DS, TC.\nVoluntary:TD, CD, ND, DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: བསྐུས NWH.\nCharacteristic Example: སྐུ TD, ND. སྐུད LZ. \nMeaning: To smear, to besmear; to daub CD. To anoint; to apply oil or ointment DK. To put (dye, oil &c.) on the surface of something DS. To apply, put on, cover, smear TC.
སྐུམ|Present: རྐང་ལག་སོགས TD, LZ, CD, ND, DK, DS, TC.\nPast: ཡན་ལག་སོགས TD, LZ, CD, ND, DK, DS, TC.\nFuture: འཁུམ TDསྐུམ , LZ, CD, ND, DK, DS, TC.\nImperative: སྐུམས TD, CD, ND, DK, DS, TC. ཊཌ་སེཨེམས་ཏོ་ཧབེ༹་དསྐུམ་བྱ་ཨས་ཐེ་ཕུ༹ཏུརེ,་བུཏ་བསྐུམ་མུསཏ་བེ་མེཨནཏ LZ. \nVoluntary:TD, CD, ND, DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: བསྐུམ (Chang 1971: v.i), (Gyurme 1992: 258), (Beyer 1992: 116).\nCharacteristic Example: བསྐུམས TD, LZ. སྐུམ LZ.\nMeaning: To contract; to be drawn up; to be paralyzed CD. To withdraw, to draw in; to make shorter or smaller; to contract; to conceal DK. The opposite of produce, extend DS. 1. To contract, bend, pull in. 2. To conceal, to obfuscate TC.
སྐུར|Present: དབང་དང་འགན KYN, CD, ND, DK, DS, TC.\nPast: འཁུར KYN, [CD], ND, DK, སྐུར DS, TC.\nFuture: སྐུརད KYN, ND, DK, DS, TC. \nImperative: བསྐུར KYN, ND, DK, བསྐུར DS, TC.\nVoluntary:KYN, ND, DS, TC, (Tournadre & Dorje 2003), (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: བསྐུརད (Gyurme 1992: 259). \nCharacteristic Example: སྐུར ND.\nMeaning: To bestow, give, send CD. To make someone carry; to send; to cause to venerate on, to make someone pay respect DK. 1. To deliver to the place of delivery by entrusting (a thing, letter &c.) with another person, post office. 2. For something to be carried (on the water, wind &c.) DS. 1. To send, dispatch. 2. To give, bestow, entrust, assign TC.
སྐུལ|Present: ལས་ལ་དང་དགེ་ལ KYN, TD, LZ, CD, ND, DK, DS, TC.\nPast: ཐུག་རྒྱུད་ལས་སོགས་ལ KYN, TD, LZ, ND, DK. ཆོས་བསྐུལ་སོགས CD, DS, TC.\nFuture: སྐུལ KYN, TD, LZ, CD, ND, DK, DS, TC.\nImperative: སྐུལད KYN, TD, LZ, ND, DK. བསྐུལ DS, TC. \nVoluntary: KYN, TD, CD, ND, DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs] (Hackett 2003).\nCharacteristic Example: བསྐུལ TD བསྐུལད LZ. སྐུལ ND.\nMeaning: To excite; to exhort, admonish, enjoin CD. To induce; exhort, urge; to request to do something; to persuade DK. To motivate, incite DS. 1. To induce, compel, persuade. 2. To incite, motivate TC.
སྐེམ|Present: གོས་གཤེར་བ་དང་མེ་ཏོག་སོགས TD, LZ, CD, DK, DS, TC. ཎཌབ་ཨིས་ཨུནཅླེཨར,་ལུ་སོགས྄ ND.ཆུ་སོགས DK.\nPast: སྐམ TD, LZ, CD, ND, DK, DS, TC.\nFuture: སྐེམ TD, LZ, CD, ND, DK, DS, TC.\nImperative: སྐམས TD, LZ, CD, ND, DS, TC. སྐེམས DK. སྐོམས DK. \nVoluntary:TD, CD, ND, DS, TC, (Hoshi 2003).\nIntransitive:DS, TC.\nSyntax: [Erg. Obl.] (Hackett 2003).\nDenominative of: བསྐམ , བསྐམས 'dry' NWH.\nCharacteristic Example: སྐམ TD, NDསྐེམས. སྐེམ LZ. \nMeaning: To make dry, to dry up CD. To dry DK. To make fewer, to dehydrate DS.. To dry out, to dry TC.
སྐེམ|Present: ,་ཁ་སོགས ND. ཁ DS.\nPast: སྐམ ND, DS.\nFuture: སྐེམ ND, DS.\nImperative: - ND, DS. \nInvoluntary:ND, DS.\nTransitive:DS.\nDenominative of: བསྐམ , བསྐམས 'dry' NWH.\nCharacteristic Example: སྐེམ NDAསྐེམས NDB.\nMeaning: To wilt (of plants), become dry DS.
སྐོ|Present: འགོད TD, LZ, CD, ND, DK, DS, TC. \nPast: འཁོད TD, LZ, CD, ND, DK, DS, TC. \nFuture: ཁོད TD, LZ, CD, ND, DK, DS, TC. \nImperative: ཁོས TD, LZ, ND, DK, DS, TC. \nVoluntary:TD, ND, DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: མཁོས TD.རྒྱལ་སར LZ.ལས་སྣེ་སོགས ND.\nMeaning: To select; to appoint, nominate, commission, charge CD. To appoint DK. For leaders or people to give responsibility to a person for a task DS. To appoint. 2. To be determined by the power of past deeds TC.\nNote:(Uray 1972: 19) connects this verb with དཔོན་གྱོག་སོགས /_སྐོས /_བསྐོ 'institution, administration, settlement of the state' along with the verbs, བསྐོས , and སྐོ.
སྐོང|Present: ཐུགས་དམ KYT, KYN, TD, LZ, CD, ND, DK, DS, TC. \nPast: ཐུགས་དམ་དང་རེ་བ་སོགས KYT, KYN, TD, LZ, CD, ND, DK, DS, TC. \nFuture: ཐུགས་དམ་སོགས KYT, KYN, TD, LZ, CD, ND, DK, DS, TC. \nImperative: སྐང་བ KYT, KYN, TD, LZ, CD, ND, DK, DS, TC. \nVoluntary:KYT, KYN, TD, CD, ND, DS, TC. \nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nDenominative of: སྐོངས 'satisfaction' (Rona-Tas 1985: 179).\nCharacteristic Example: བསྐང TD.བསྐངས LZ.སྐོང ND.\nMeaning: To fulfill CD. To complete; to add; to satisfy, fulfill a wish DK. 1. To fulfill. 2. To make up a deficiency; to supplement TC.
སྐོང|Present: སྐོངས TC.\nPast: བསྐོང TC.\nFuture: བསྐོངས TC.\nImperative: སྐོང TC.\nVoluntary:TC, (Hoshi 2003).\nTransitive:TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nMeaning: To summon, convene TC.
སྐོན|Present: སྐོན KYN, LZ, CD, ND, DK, DS, TC.\nPast: འབུབ KYN, LZ, ND, DK.སྤུབ CD, DS, TC.\nFuture: བསྐོན KYN, LZ, CD, ND, DK, DS, TC.\nImperative: བསྐོན KYN, LZ, ND, DK.སྐོན CD, DS, TC\nVoluntary:KYN, CD, ND, DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Obl.] (Hackett 2003).\nCausative of: གོས་སོགས (Chang 1971: vii.16, see note) (Gyurme 1992: 259). ཁྲབ་རྨོག་ལྟ་བུ་སོགས (Gyurme 1992: 259) (Duff) འཁོན (Chang vii.16, see note)\nCharacteristic Example: གྱོན LZ.གོན ND.\nMeaning: To dress; to clothe another person CD. To make someone put on a dress or an ornament DK. 1. To make someone wear (wools, a hat &c.). 2. To cause an action similar to the wearing of hats or clothes (e.g. bridle a horse, tie a rope around a calf's neck) DS. To dress, put on clothes, to cover TC.\nNote:Written Tibetan སྐོན , སྐོནད , བསྐོན 'to dress, to clothe another person': gon 'to put on (clothes, shoes)' appears to be an example of the devoicing caused by s similar to བསྐོན , བསྐོནད. Our spoken Tibetan data, however, does not confirm this meaning of སྐོན , suggesting rather two bases, *kon 'to get caught', and *gon 'to get dressed' (Chang 1971: viii.15).
སྐོམ|Present: སྐེམ DS, TC. \nPast: སྐམ [DS]. སྐོམ TC.\nFuture: སྐོམ [DS], TC.\nImperative: - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nDenominative of: སྐོམས 'dry' NWH.\nMeaning: For a desire to drink to arise when the liquid of the body is depleted DS. To suffer because the wetness within the mouth has dried TC.\nNote: Compare སྐོམ and སྐོམ.
སྐོར|Present: སྐྱོར TD, LZ, CD, ND, DK, DS, TC.\nPast: སྐོར TD, LZ, ND, DK.འཁོར་བར CD, DS, TC.\nFuture: ལྷ་ཁང་དང་རྟེན་ལ TD, LZ, CD, ND, DK, DS, TC.\nImperative: ཆོས་འཁོར་སོགས TD, LZ, ND, DK. འཁོར DS, TC.\nVoluntary:TD, ND, DS, TC, (Tournadre & Dorje 2003), (Hoshi 2003).\nTransitive:DS, TC, (Gyurme 1992: 247).\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: སྐོར (Gyurme 1992: 259), (Beyer 1992: 116), (Duff).\nCharacteristic Example: སྐོརད TD.བསྐོར LZ.བསྐོར ND.\nMeaning: 1. To fill with; to surround, encircle, enclose, besiege; to come again and again; to revolve. 2. To traverse, ride round a thing. 3. To circumambulate CD. To turn round; to turn a wheel; to take a round; to encircle, surround DK. 1. To make something turn around the circumference of a center. 2. To lead, take control. 3. To encircle, surround. 4. To change directions, shift allegiances. 5. To trick, mislead DS. 1. To turn around, rotate. 2. To surround, encircle TC.\nNote:(Beyer 1992: 83) suggest that skyor is a palatalized version of this verb, however བསྐོརད has the root vowel o and སྐོར the root vowel a, so his analysis is unlikely.
སྐོར|Present: སྐོར DS, TC.\nPast: བསྐོར DS, TC.\nFuture: སྐོར DS, TC.\nImperative: བསྐོར DS, TC.\nVoluntary: DS, TC.\nIntransitive: DS. Voluntary: TC.\nMeaning: To go, wander, roam, loaf DS. To wander, to roam, to move about TC.\nNote: In Situ's great commentary only བསྐོར and not སྐོར is given DS.
སྐོལ|Present: ཟ་དང་ཆུ་སོགས LZ, CD, ND, DK, DS, TC.\nPast: ཟ་དང་ཆུ LZ, ND, DK.ཟ་སོགས CD, DS, TC.\nFuture: འཁོལ LZ, CD, ND, DK, DS, TC.\nImperative: སྐོལ LZ, ND, DK. སྐོལད DS, TC.\nVoluntary: ND, DS, TC, (Tournadre & Dorje 2003: 306), (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Tournadre & Dorje 2003: 306), (Hackett 2003).\nCausative of: བསྐོལ CD, (Chang 1971: v.1), (Gyurme 1992: 259), (Beyer 1992: 116).\nCharacteristic Example: བསྐོལ LZ.བསྐོལད NDB.སྐོལ NDA.\nMeaning: To boil CD, DK, TC.
སྐྱ|Present: ཕོ་བའི LZ. གཞི་དང་རུས་པ་སོགས CD, ND, DK, DS, TC.\nPast: སྐྱས LZ, CD, ND, DK, DS, TC.\nFuture: སྐྱོས LZ, CD, ND, DK, DS, TC.\nImperative: བསྐྱ ND, DS, TC. བསྐྱས LZ, DK.\nVoluntary:ND, DS, TC.\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: སྐྱ LZ. 'སྐྱས ND.\nMeaning: 1. To carry; convey to a place (a quantity of stones, wood, water, &c.). 2. To change place CD. To move one's residence or dwelling; to migrate, transfer DK. 1. To move, to move from one place to another, to migrate. 2. (archaic) To deliver, convey TC.
སྐྱག|Present: འགྱག CD. སྐྱོག (CD).\nPast: བསྐྱག CD.\nFuture: བསྐྱོགས CD.\nImperative: རྐྱག CD.\nMeaning: 1. To spread, lay out, expand. 2. (in West) To slaughter, murder (Ja) CD.\nNote: CD suggests comparison with སྐྱག 
སྐྱད|Present: སྐྱད DK.\nPast: བསྐྱད DK.\nFuture: བསྐྱད DK.\nImperative: སྐྱད DK\nSyntax: [Erg. Abs.] (Hackett 2003).\nMeaning: To kill DK. 1. To kill. 2. To compete [Lishi gur khang]
སྐྱས|སྐྱ LZ. gives as the present of སྐྱས 
སྐྱི|Present: སྐྱིན LZ, CD, ND, DK, DS, TC.\nPast: ནོར་སོགས LZ, CD, ND, DK, DS, TC.\nFuture: གཞན་ལས་གསེར་དངུལ་སོགས LZ, CD, ND, DK, DS, TC.\nImperative: སྐྱིས LZ, CD, ND, DK, DS, TC.\nVoluntary:CD, ND, DS, TC.\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: བསྐྱི LZ.བསྐྱིས ND.\nMeaning: To borrow, especially money or goods CD. To lend; to borrow; to give or take something on loan DK. To loan, borrow TC.\nNote: Certainly the same verb as སྐྱི NWH.
སྐྱིག|Present: སྐྱིགས DK.\nPast: བསྐྱིག DK.\nFuture: བསྐྱིགས DK.\nImperative: སྐྱིག DK\nMeaning: To cause to tie, to fasten DK.
སྐྱིག|Present: སྐྱིག (Ja).\nMeaning: To hiccup (Ja).
སྐྱིན|Present: སྐྱི CD, DK.\nPast: སྐྱིན་པ CD.སྐྱིནད DK.\nFuture: བསྐྱིན DK.\nImperative: བསྐྱིནད DK.\nDenominative of: བསྐྱིན 'loan' NWH.\nMeaning: To borrow CD. To lend, to borrow CD.\nNote: Compare སྐྱིན.
སྐྱིལ|Present: ཆུ་སོགས LZ, CD, ND, DK, DS, TC.\nPast: མཚོ་དནག་ཆུ་སོགས LZ. ND, DK.འཁྱིལ CD, DS, TC.\nFuture: སྐྱིལ LZ, CD, ND, DK, DS, TC.\nImperative: སྐྱིལད LZ, ND, DK. བསྐྱིལ DS, TC.\nVoluntary: ND, DS, TC.\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: བསྐྱིལ (Chang 1971: v.3) (Gyurme 1992: 259), (Beyer 1992: 116).\nCharacteristic Example: བསྐྱིལད LZ.སྐྱིལ ND.\nMeaning: 1. To pen up, shut up; to dam up a river. 2. (Ja) to bend, especially the legs when sitting on the ground after the oriental fashion. To bend in another's leg by a kick from behind; to bend the bow CD. To dam; to store DK. 1. To dam up, to pen up, contain. 2. To keep TC.
སྐྱུག|Present: ཀོང་ནད CD, ND, DK.\nPast: སྐྱུག་པ CD, ND, DK.\nFuture: སྐྱུགས ND, DK.\nImperative: སྐྱུག ND, DK.\nVoluntary:ND.\nDenominative of: སྐྱུགས 'vomit, purgative' NWH.\nCharacteristic Example: སྐྱུག ND.\nMeaning: To vomit, to eject (e.g. blood). 2. To lose color, to stain CD. To vomit; to come out forcefully DK.
སྐྱུག|Present: སྐྱུག་པ DK, DS, TC.\nPast: སྐྱུགས DK, DS, TC.\nFuture: བསྐྱུག DK, DS, TC.\nImperative: བསྐྱུགས DK, DS, TC.\nVoluntary:DS, TC.\nTransitive: TC Intransitive:DS\nSyntax: [Erg. Abs.] (Hackett 2003).\nDenominative of: སྐྱུག 'vomit, purgative'NWH.\nMeaning: To cause to vomit DK. To release the contents of the viscera from the mouth DS. To vomit, to wretch TC.
སྐྱུང|Present: བརྗེད་བྱ LZ, CD, ND, DK, DS, TC\nPast: སེམས་ལ LZ, CD, ND, DK, DS, TC\nFuture: སྐྱུད LZ, CD, ND, DK, DS, TC\nImperative: བསྐྱུད LZ, CD, ND, DK, DS, TC \nVoluntary:CD, ND, DS, TC\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: བསྐྱུད LZ.ཉུང་དུ ND.\nMeaning: 1. To diminish, reduce. 2. (Ja) (In central Tibet) to leave behind; to lay aside (a task). CD To reduce or diminish one's prive or voice; to subdue; to give up DK.DS 1. To cast off, leave far behind, to abandon and put behind; to give up completely, to discard completely. 2. To lessen (in amount, degree), to reduce (in size, extent) TC (Duff).\nPast: ཁེངས་པ་སོགས LZ, ND, DK, DS, TC.\nFuture: སྐྱུངས LZ, ND, DK, DS, TC.\nImperative: བསྐྱུང LZ, ND, DK, DS. - TC. \nVoluntary:ND, DS. Involuntary: TC.\nTransitive:DS. Intransitive: TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCharacteristic Example: བསྐྱུངས LZ.སྐྱུང ND.\nMeaning: 1. To forget. 2. To leave off (Ja). 3. To communicate, swallow (Sch.) CD. To forget; to fail to recall DK. (archaic) To forget DS. To forget TC.
སྐྱུར|Present: ཕར་ལ LZ, CD, ND, DK, DS, TC.\nPast: བྱ་བ་ངན་པ་སོགས་རྒྱབ་ཏུ LZ, ND, DK.འཁྱུར CD, DS, TC.\nFuture: སྐྱུར LZ, CD, ND, DK, DS, TC.\nImperative: སྐྱུརད LZ, ND, DK. བསྐྱུར DS, TC.\nVoluntary:DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: བསྐྱུར (Chang 1971: v.4), (Beyer 1992: 116).\nCharacteristic Example: བསྐྱུརད LZ.སྐྱུར ND.\nMeaning: To throw, to cast; to leave off CD. To throw or to cast off, to renounce or give up DK. 1. To throw away, discard (rubbish). 2. To abandon, leave behind (homeland, troubles) DS. 1. (Mental) To give up on, to abandon, to forsake, to go back on something which one has previously adhered to, to leave behind something for something else seen as better. 2. (Physical) To toss off, away, to cast off something which is now seen as rubbish or as useless TC (Duff).
སྐྱེ|Present: སྲིད་པ་སོགས་སུ LZ, CD, DK, DS, TC.\nPast: སྐྱེ་བུ LZ, CD, DK, DS, TC.\nFuture: སྐྱེ་བ LZ, DK, DS, TC.\nImperative: སྐྱེད LZ. སྐྱེས DK. - DS, TC.\nInvoluntary:DS, TC, (Tournadre & Dorje 2003), (Hoshi 2003).\nIntransitive:DS, TC.\nSyntax: [Abs.] (Tournadre & Dorje 2003). [Abs. Obl.] (Hackett 2003).\nResultative of: སྐྱེ (Laufer 1915: 62).\nDenominative of: སྐྱེ 'birth', སྐྱེས 'person' NWH.\nCharacteristic Example: སྐྱེ LZ.\nMeaning: To be born, arise CD. To be born; to come out newly DK. 1. kinds of vegetation having first sprouted a shoot, to develop fruit. 2. To issues from the mother's womb. 3. To mature, rise up like the sprouting of vegetation. 4. To become larger or longer. 5. To arise, occur DS. 1. To be born, to arise, to grow anew. 2. To grow, increase TC.
སྐྱེང|Present: སྐྱེངས CD, DK. སྐྱེང CD. DS, TC.\nPast: སྐྱེངས DK, [DS], TC.\nFuture: སྐྱེང DK.སྐྱེངས [DS], TC. \nImperative: སྐྱེངས DK. - TC.\nInvoluntary:TC, (Hoshi 2003).\nIntransitive:DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: To be ashamed CD. To be ashamed; to be embarrassed DK, DS. To be abashed, embarrassed, circumspect (especially regarding speech) TC (Duff).\nNote: I could see here two verbs (སྐྱེངས , སྐྱེངས , སྐྱེངས , - ) and (སྐྱེང , སྐྱེངས , སྐྱེངས , སྐྱེང ) the evidence is insufficient to decide. 
སྐྱེང|Present: སྐྱེངས DK.\nPast: བསྐྱེང DK.\nFuture: བསྐྱེངས DK. \nImperative: སྐྱེང DK.\nMeaning: To make shameful or to cause to be ashamed; to belittle; to bring down DK.
སྐྱེད|Present: ལྷ་སོགས་དང་སེམས LZ, CD, ND, DK, DS, TC.\nPast: ཆོ་ག་དང་བུ་སོགས LZ, CD, ND, DK, DS, TC.\nFuture: སྐྱེ LZ, ND, DK, DS, TC.\nImperative: སྐྱེད LZ, ND, DK, DS, TC.\nVoluntary:ND, DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: བསྐྱེད (Laufer 1915: 62), (Duff).\nCharacteristic Example: བསྐྱེད LZ.སྐྱེད ND.\nMeaning: To procreate, generate, bring forth. give birth to CD. To make progress, to increase, widen DK.
སྐྱེམ|Present: སྐྱེམས CD. \nPast: སྐྱེམ [CD].\nMeaning: To be thirsty CD.\nNote: Root given as skyem < skyam < skam (Beyer 1992: 84 n. 15).
སྐྱེལ|Present: འཁྱོལ LZ, ND.གནས་སུ CD, DK, DS, TC.\nPast: གཏོ་མདོས་སོགས LZ, NDBསྐྱོལ , DK.སྐྱོལད CD, NDA, DS, TC.\nFuture: བསྐྱལ LZ, CD, ND, DK, DS, TC.\nImperative: བསྐྱལ LZ, ND, DK.ཎཌབ་སེཨེམས་ཏོ་ཧབེ༹་བསྐྱམད་ཝཧིཆ་མུསཏ་བེ་ཨིན་ཕ༹ཅཏ་བསྐྱལད་ཎཌཱ་ཧས་བསྐྱལ CD, (DK), DS, TC. \nVoluntary:LZ, ND, CD, DK, DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: བསྐྱལད LZ.སྐྱེལ ND.\nMeaning: 1. To carry, to take away. 2. To send. 3. To risk, to stake (one's life). 4. To use, to employ CD. To deliver a person or thing; to see off, to kiss; to lose; to vow; to accomplish DK. 1. To go from one place to another place accompanying another person in order to show love, to protect, or supervise. 2. To raise a thing from one place to another place. 3. To use, employ. 4. To finish, perfect DS. 1.To escort, to see off. 2. To send, transport, deliver, 3. To do, to apply. 4. To pass, spend (of time) TC.\nNote: Root given as skyal \nNote: Compare སྐྱེལད 
སྐྱེལ|Present: སྐྱོལ CD. \nPast: བསྐྱེལ CD.\nFuture: བསྐྱེལ CD.\nImperative: སྐྱེལ CD.\nInvoluntary: TC.\nIntransitive: DS, TC.\nMeaning: To conduct, accompany CD.
སྐྱོ|Present: སྐྱོ DK, DS, TC.\nPast: སྐྱོ DK, [DS], TC.\nFuture: སྐྱོ DK, [DS], TC.\nImperative: སྐྱོ DK. - TC.\nInvoluntary:TC, (Hoshi 2003).\nIntransitive:DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nDenominative of: སྐྱོ 'grief, sorrow' NWH.\nMeaning: To be sad, to be gloomy DK. 1. To be irritated. 2. To be disaffected DS. 1. To be sad, to be miserable. 2. To be fed up with, to be weary of, to be disenchanted with, to have distaste for TC (Duff).
སྐྱོག|Present: སྐྱོགས CD, DK, DS, TC.\nPast: བསྐྱོག DK, DS, TC.\nFuture: བསྐྱོགས DK, DS, TC.\nImperative: སྐྱོག DK, DS, TC.\nVoluntary:DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nMeaning: To turn, to turn away, aside CD. To turn aside, to drive aside DK. 1. To change direction. 2. To bend, make crooked DS. 1. To turn. 2. To move over, to give way TC.
སྐྱོང|Present: སྐྱོང DS.\nPast: སྐྱོང [DS].\nFuture: སྐྱོང [DS].\nIntransitive:DS.\nMeaning: To go on a long road DS.
སྐྱོང|Present: དྲིན་གྱིས་བོན་tshesབ་བསྟན་པ་སོགས E TD, LZ, CD, ND, DK, DS, TC.\nPast: བརྩེ་བ་དང་དྲིན་གྱིས TD, LZ, ND, DK, DS, TC. དྲིན་གྱིས CD.\nFuture: སྐྱོངས TD, LZ, CD, ND, DK, DS, TC.\nImperative: སྐྱོང (Zeisler 2004: 349).བསྐྱང TD, LZ, CD, ND, DK, DS, TC.\nVoluntary:TD, CD, ND, DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: བསྐྱོངས TD.བསྐྱངས LZ.སྐྱོང ND.\nMeaning: To guard; to keep; to defend; to save; to preserve CD. To look after; to nurse, cherish; to take care of; to administer DK. 1. To look after, support, take care of. 2. To supervise, direct, support DS. 1. To sustain, take care of, tend, look after. 2. To protect, guard. 3. To manage, do, hold, control, carry out TC.
སྐྱོད|Present: གནས་སོགས་དང་རླུང་གིས LZ, CD, DK, DS, TC.\nPast: སྐྱོད LZ, CD, DK, DS, TC.\nFuture: བསྐྱོད LZ, CD, DK, DS, TC.\nImperative: བསྐྱོད LZ, DK, DS.- TC.\nVoluntary:ND, DS. Involuntary: TC.\nTransitive: CD, DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: སྐྱོད LZ.\nMeaning: To move; to go, pass on CD. To move DK. To move, agitate DS. To move, stir, agitate TC.
སྐྱོད|Present: གོམ་པའི་ཞབས་ཀྱིས CD, ND, DK, DS, TC.\nPast: སྐྱོད CD, ND, DK, DS, TC.\nFuture: བསྐྱོད CD, ND, DK, DS, TC.\nImperative: བསྐྱོད ND, DK, DS, TC.\nVoluntary:ND, DS, TC, (Hoshi 2003).\nTransitive: CD. Intransitive:DS, TC.\nCharacteristic Example: སྐྱོད ND.\nMeaning: (In West) (Respectful) To go, to walk CD. To cause to go or proceed DK. To go DS. To go TC.
སྐྱོན|Present: སྐྱོནད DK.\nPast: སྐྱོན DK.\nFuture: སྐྱོནད DK.\nImperative: སྐྱོན DK.\nMeaning: To make defective; to become defective DK.
སྐྱོན|Present: གོན LZ. གྱོན CD, ND, DK, DS, TC.\nPast: རྒྱག LZ, CD, DS, TC. རྟ་ལ་སོགས ND, DK.\nFuture: རྟ་ལ LZ, ND, DK, DS, TC.\nImperative: རྟ་དང་གསལ་ཤིང་སོགས་ལ LZ, ND, DK. ཞོན DS, TC.\nVoluntary:ND, DS, TC, (Tournadre & Dorje 2003: 166), (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Tournadre & Dorje 2003: 166), (Hackett 2003).\nCausative of: སྐྱོན (Gyurme 1992: 259), (Duff).\nCharacteristic Example: སྐྱོནད LZ.བསྐྱོན NDB.བསྐྱོནད NDA.\nMeaning: To put astride upon a thing CD. To put on a horse DK. 1. To have mount, place astride. 2. To place on top of. 3. To make (someone) wear, to dress (someone) DS. 1. To place someone on a horse, to put astride. 2. To place above, place upon. 3. (honorific) Equivalent of the auxiliary verb བསྐྱོན TC.\nNote: Compare སྐྱོན , སྐྱོནད 
